model,context,avg_score,easy_avg,medium_avg,hard_avg,strict_accuracy,lenient_accuracy,n_evaluated
deepseek-v3.2,en_structured_full,1.12,0,0,1.12,0.125,0.5,8
deepseek-v3.2,ru_markdown_16000tok,1.45,2.6,1.71,0.5,0.25,0.6,20
deepseek-v3.2,ru_markdown_2000tok,0.45,0.6,0.57,0.25,0.05,0.2,20
deepseek-v3.2,ru_markdown_8000tok,0.5,1.0,0.29,0.38,0.05,0.2,20
deepseek-v3.2,ru_markdown_full,1.6,2.4,1.71,1.0,0.35,0.6,20
deepseek-v3.2,ru_statements_16000tok,1.55,2.6,1.71,0.75,0.4,0.55,20
deepseek-v3.2,ru_statements_2000tok,1.35,2.2,1.57,0.62,0.3,0.5,20
deepseek-v3.2,ru_statements_8000tok,1.25,2.0,1.71,0.38,0.3,0.45,20
deepseek-v3.2,ru_statements_full,1.55,2.6,1.71,0.75,0.4,0.55,20
deepseek-v3.2,ru_structured_16000tok,1.4,2.6,1.0,1.0,0.3,0.55,20
deepseek-v3.2,ru_structured_2000tok,0.95,1.8,0.57,0.75,0.15,0.35,20
deepseek-v3.2,ru_structured_8000tok,1.5,2.6,1.29,1.0,0.2,0.65,20
deepseek-v3.2,ru_structured_full,1.55,2.6,1.29,1.12,0.3,0.6,20
deepseek-v3.2-thinking,en_markdown_16000tok,1.7,2.6,1.43,1.38,0.35,0.65,20
deepseek-v3.2-thinking,en_markdown_2000tok,0.35,1.0,0.29,0.0,0.05,0.15,20
deepseek-v3.2-thinking,en_markdown_8000tok,1.0,1.6,0.57,1.0,0.15,0.4,20
deepseek-v3.2-thinking,en_markdown_full,2.2,2.6,2.0,2.12,0.45,0.85,20
deepseek-v3.2-thinking,en_statements_16000tok,2.05,2.6,2.5,1.38,0.579,0.737,19
deepseek-v3.2-thinking,en_statements_2000tok,0.55,1.0,0.86,0.0,0.15,0.2,20
deepseek-v3.2-thinking,en_statements_8000tok,1.75,2.2,2.57,0.75,0.5,0.6,20
deepseek-v3.2-thinking,en_statements_full,2.05,2.6,2.14,1.62,0.55,0.75,20
deepseek-v3.2-thinking,en_structured_16000tok,0.63,0.4,0.0,1.25,0.105,0.263,19
deepseek-v3.2-thinking,en_structured_2000tok,0.55,0.4,0.71,0.5,0.05,0.25,20
deepseek-v3.2-thinking,en_structured_8000tok,0.7,0.4,0.43,1.12,0.1,0.3,20
deepseek-v3.2-thinking,en_structured_full,0.8,0.4,0.43,1.38,0.15,0.3,20
deepseek-v3.2-thinking,ru_markdown_16000tok,1.55,2.2,1.57,1.12,0.3,0.6,20
deepseek-v3.2-thinking,ru_markdown_2000tok,0.5,1.0,0.29,0.38,0.05,0.2,20
deepseek-v3.2-thinking,ru_markdown_8000tok,0.95,1.2,0.29,1.38,0.15,0.35,20
deepseek-v3.2-thinking,ru_markdown_full,2.26,2.6,2.0,2.29,0.474,0.895,19
deepseek-v3.2-thinking,ru_statements_16000tok,1.89,2.8,1.5,1.62,0.474,0.684,19
deepseek-v3.2-thinking,ru_statements_2000tok,1.3,2.4,1.57,0.38,0.3,0.5,20
deepseek-v3.2-thinking,ru_statements_8000tok,1.4,2.2,1.71,0.62,0.4,0.5,20
deepseek-v3.2-thinking,ru_statements_full,1.95,2.8,1.71,1.62,0.5,0.7,20
deepseek-v3.2-thinking,ru_structured_16000tok,2.05,2.6,1.43,2.29,0.474,0.789,19
deepseek-v3.2-thinking,ru_structured_2000tok,0.8,1.6,0.14,0.88,0.15,0.3,20
deepseek-v3.2-thinking,ru_structured_8000tok,2.05,2.6,1.5,2.12,0.368,0.842,19
deepseek-v3.2-thinking,ru_structured_full,2.0,2.4,1.17,2.38,0.368,0.789,19
gemma4,en_markdown_16000tok,1.25,2.6,1.29,0.38,0.2,0.45,20
gemma4,en_markdown_2000tok,0.25,0.6,0.29,0.0,0.05,0.1,20
gemma4,en_markdown_8000tok,0.5,1.6,0.0,0.25,0.1,0.2,20
gemma4,en_markdown_full,1.5,2.4,1.57,0.88,0.35,0.55,20
gemma4,en_statements_16000tok,1.15,1.2,1.71,0.62,0.35,0.35,20
gemma4,en_statements_2000tok,0.55,1.0,0.86,0.0,0.15,0.2,20
gemma4,en_statements_8000tok,1.05,1.2,1.71,0.38,0.3,0.35,20
gemma4,en_statements_full,1.25,1.6,1.71,0.62,0.35,0.4,20
gemma4,en_structured_16000tok,0.6,0.4,0.43,0.88,0.1,0.25,20
gemma4,en_structured_2000tok,0.15,0.0,0.0,0.38,0.0,0.05,20
gemma4,en_structured_8000tok,0.45,0.4,0.43,0.5,0.05,0.15,20
gemma4,en_structured_full,0.55,0.4,0.43,0.75,0.05,0.25,20
gemma4,ru_markdown_16000tok,1.0,2.2,1.0,0.25,0.25,0.3,20
gemma4,ru_markdown_2000tok,0.4,0.8,0.29,0.25,0.05,0.15,20
gemma4,ru_markdown_8000tok,0.75,1.6,0.57,0.38,0.1,0.3,20
gemma4,ru_markdown_full,1.45,2.2,1.43,1.0,0.25,0.55,20
gemma4,ru_statements_16000tok,1.7,2.4,1.71,1.25,0.45,0.6,20
gemma4,ru_statements_2000tok,1.35,2.4,1.29,0.75,0.3,0.5,20
gemma4,ru_statements_8000tok,1.45,1.8,2.0,0.75,0.35,0.5,20
gemma4,ru_statements_full,1.75,2.6,1.71,1.25,0.45,0.65,20
gemma4,ru_structured_16000tok,1.3,2.4,1.0,0.88,0.2,0.55,20
gemma4,ru_structured_2000tok,0.65,1.4,0.29,0.5,0.05,0.3,20
gemma4,ru_structured_8000tok,1.15,2.4,1.0,0.5,0.15,0.5,20
gemma4,ru_structured_full,1.35,2.2,1.0,1.12,0.15,0.6,20
qwen3.5,en_markdown_16000tok,1.85,2.6,1.71,1.5,0.35,0.75,20
