language,context,question_id,difficulty,category,question,reference_answer,contains_reference_answer,exact_reference_match,all_reference_numbers_found,reference_numbers,found_reference_numbers,substantive_reference_numbers,token_budget,context_chars
en,en_statements_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",0,0,0,42380106.4,,42380106.4,2000,7889
en,en_statements_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,0,0,0,8,8,,2000,7889
en,en_statements_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",0,0,0,164663857.2,,164663857.2,2000,7889
en,en_statements_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,1,1,0,88,88,,2000,7889
en,en_statements_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1,0,1,1127306.9,1127306.9,1127306.9,2000,7809
en,en_statements_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом",0,0,0,56424894.11,,56424894.11,2000,7889
en,en_statements_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",0,0,0,593.2|593152147.3,,593.2|593152147.3,2000,7993
en,en_statements_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",0,0,0,56424894.11|41621347.3,,56424894.11|41621347.3,2000,7831
en,en_statements_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,0,0,0,7.1,,7.1,2000,7943
en,en_statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,0,0,0,739.4,,739.4,2000,7968
en,en_statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),0,0,0,,,,2000,7889
en,en_statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",1,0,1,16881928.1,16881928.1,16881928.1,2000,7936
en,en_statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,1,1,0,19,19,,2000,7889
en,en_statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,0,0,0,9,9,,2000,7889
en,en_statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,0,0,0,50,50,,2000,7939
en,en_statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",0,0,0,56|332149236.2|593028014.9,,332149236.2|593028014.9,2000,7995
en,en_statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",0,0,0,76517019.4,,76517019.4,2000,7889
en,en_statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",0,0,0,4522247.8,,4522247.8,2000,7919
en,en_statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,0,0,0,168|342,,168|342,2000,7889
