model,context,avg_score,easy_avg,medium_avg,hard_avg,strict_accuracy,lenient_accuracy,n_evaluated
deepseek-v3.2,en_structured_full,1.0,0,0,1.0,0.0,0.5,8
deepseek-v3.2,ru_markdown_16000tok,1.4,2.6,1.71,0.38,0.25,0.55,20
deepseek-v3.2,ru_markdown_2000tok,0.45,0.6,0.57,0.25,0.05,0.2,20
deepseek-v3.2,ru_markdown_8000tok,0.5,1.0,0.29,0.38,0.05,0.2,20
deepseek-v3.2,ru_markdown_full,1.55,2.4,1.71,0.88,0.35,0.55,20
deepseek-v3.2,ru_statements_16000tok,1.5,2.6,1.71,0.62,0.4,0.55,20
deepseek-v3.2,ru_statements_2000tok,1.35,2.2,1.57,0.62,0.3,0.5,20
deepseek-v3.2,ru_statements_8000tok,1.2,2.0,1.71,0.25,0.3,0.45,20
deepseek-v3.2,ru_statements_full,1.5,2.6,1.71,0.62,0.4,0.55,20
deepseek-v3.2,ru_structured_16000tok,1.35,2.6,1.0,0.88,0.25,0.55,20
deepseek-v3.2,ru_structured_2000tok,0.95,1.8,0.57,0.75,0.15,0.35,20
deepseek-v3.2,ru_structured_8000tok,1.45,2.6,1.29,0.88,0.2,0.6,20
deepseek-v3.2,ru_structured_full,1.5,2.6,1.29,1.0,0.25,0.6,20
deepseek-v3.2-thinking,en_markdown_16000tok,1.65,2.6,1.43,1.25,0.3,0.65,20
deepseek-v3.2-thinking,en_markdown_2000tok,0.35,1.0,0.29,0.0,0.05,0.15,20
deepseek-v3.2-thinking,en_markdown_8000tok,0.95,1.6,0.57,0.88,0.15,0.35,20
deepseek-v3.2-thinking,en_markdown_full,2.1,2.6,2.0,1.88,0.4,0.8,20
deepseek-v3.2-thinking,en_statements_16000tok,1.95,2.6,2.5,1.12,0.526,0.684,19
deepseek-v3.2-thinking,en_statements_2000tok,0.55,1.0,0.86,0.0,0.15,0.2,20
deepseek-v3.2-thinking,en_statements_8000tok,1.7,2.2,2.57,0.62,0.5,0.6,20
deepseek-v3.2-thinking,en_statements_full,2.0,2.6,2.14,1.5,0.5,0.75,20
deepseek-v3.2-thinking,en_structured_16000tok,0.58,0.4,0.0,1.12,0.053,0.263,19
deepseek-v3.2-thinking,en_structured_2000tok,0.55,0.4,0.71,0.5,0.05,0.25,20
deepseek-v3.2-thinking,en_structured_8000tok,0.65,0.4,0.43,1.0,0.1,0.25,20
deepseek-v3.2-thinking,en_structured_full,0.75,0.4,0.43,1.25,0.1,0.3,20
deepseek-v3.2-thinking,ru_markdown_16000tok,1.5,2.2,1.57,1.0,0.25,0.6,20
deepseek-v3.2-thinking,ru_markdown_2000tok,0.5,1.0,0.29,0.38,0.05,0.2,20
deepseek-v3.2-thinking,ru_markdown_8000tok,0.9,1.2,0.29,1.25,0.15,0.3,20
deepseek-v3.2-thinking,ru_markdown_full,2.21,2.6,2.0,2.14,0.421,0.895,19
deepseek-v3.2-thinking,ru_statements_16000tok,1.84,2.8,1.5,1.5,0.474,0.684,19
deepseek-v3.2-thinking,ru_statements_2000tok,1.35,2.4,1.57,0.5,0.3,0.5,20
