model,language,context,question_id,difficulty,category,question,question_en,question_ru,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
gemma4,en,en_statements_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом",The provided context does not contain information regarding the funding for the 'School Education' program.,2000,7776,0,"The model did not provide the required funding figure, giving an incorrect claim that the information is unavailable."
gemma4,en,en_statements_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,The provided context does not contain information regarding the number of budget programs for the Ministry of Health.,2000,7969,0,The model did not provide the correct number (8) and claimed the information was unavailable.
gemma4,en,en_statements_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",The provided context does not contain information regarding the funding amounts for the budget programs.,2000,7969,0,"The model answer claims no information is available, which is incorrect compared to the reference that provides the program and amount."
gemma4,en,en_statements_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,52,2000,7995,2,The answer addresses the correct entity (total ministries and agencies) but provides an incorrect number (52 vs. 60).
gemma4,en,en_statements_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом","1,127,306.9 thousand som",2000,7857,3,The model provides the exact same numeric value and unit (thousand som) as the reference answer.
gemma4,en,en_statements_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом",The provided context does not contain information regarding the funding amounts for the Ministry of Education (Министерство просвещения Кыргызской Республики).,2000,7969,0,"The model answer does not provide the required funding figure and states lack of information, which is incorrect."
gemma4,en,en_statements_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,2000,7889,0,"The model claims the information is missing, but the reference provides the total budget value, so the answer is incorrect."
gemma4,en,en_statements_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,Which ministry receives more funding: Ministry of Health or Ministry of Education?,,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain information regarding the funding amounts for the Ministry of Health or the Ministry of Education.,2000,7944,0,"The model claims no information is available, but the reference provides specific funding amounts showing Education receives more."
gemma4,en,en_statements_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?","Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",,declines by 7.1%,"The provided context does not contain the total program-level budget for all ministries, only totals for specific individual ministries; therefore, there is not enough information to determine if the overall budget grows or shrinks or by what percentage.",2000,7947,0,"The model says there is insufficient information, whereas the reference provides a specific answer (declines by 7.1%)."
gemma4,en,en_statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,Which program has the smallest non-zero funding in 2026?,,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program 'Управление и администрирование' (program code 001) under the ministry 'Секретариат Национальной комиссии Кыргызской Республики по делам ЮНЕСКО' (code 68) has the smallest non-zero funding in 2026, with 8,993.7 thousand som.",2000,7761,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,,Процент (%),%,2000,7893,3,"Model correctly identified the unit as percent, matching the reference answer."
gemma4,en,en_statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,What is the total 2026 program funding for the Ministry of Transport and Communications?,,"16,881,928.10 тыс. сом","16,881,928.1 thousand som",2000,7809,3,The model provides the exact same numeric value and unit (thousand som) as the reference answer.
gemma4,en,en_statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,How many ministries/agencies have exactly one budget program?,,22,The provided context does not contain information regarding the number of budget programs allocated to each ministry/agency.,2000,7969,0,The model did not provide the correct number (22) and instead claimed lack of information.
gemma4,en,en_statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,How many programs show funding growth of more than 10% between 2026 and 2027?,,9,The provided context does not contain information regarding the number of programs or funding amounts for 2026 and 2027.,2000,7969,0,The model did not provide the correct number (9) and instead claimed lack of information.
gemma4,en,en_statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,How many rows in the budget have a performance indicator measured in people (чел.)?,,57,4,2000,7913,0,"The model gave 4 instead of the correct value 57, so the answer is incorrect."
gemma4,en,en_statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain the total 2026 program budget or the specific budget amount for the Ministry of Finance (General State Expenditures) (code 26).,2000,7825,0,"The model claims the information is unavailable, whereas the reference provides the correct share of 56%."
gemma4,en,en_statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,Which budget measure (not program) has the largest 2026 funding?,,"Повышение социальных выплат - 76,517,019.4",The provided context does not contain information regarding specific budget measures or their funding amounts.,2000,7969,0,"The model did not provide the correct budget measure and amount, stating lack of information instead of the answer."
gemma4,en,en_statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The program 'Общегосударственные программы' (program code 263) is allocated 0 thousand som in 2026. The context does not provide information on other programs under the Ministry of Emergency Situations.,2000,7867,0,"Model answer provides a different program with zero funding, not the program and amount given in the reference."
gemma4,en,en_statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,How many total budget programs and budget measures are in the 2026 program-based budget?,,168 программ и 393 мер,The provided context does not contain information regarding the total number of budget programs and budget measures.,2000,7969,0,"The model answer does not provide the required numbers and states lack of information, which is incorrect."
gemma4,en,en_statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,,"1) Общегосударственные программы (Министерство финансов); 2)Реализация проектов государственных инвестиций (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности); 3) Государственная поддержка и развитие ирригации (Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности)",The provided context does not contain information regarding funding amounts or budget data for 2027.,2000,7969,0,"The model did not provide the required programs and instead claimed lack of information, which is incorrect."
gemma4,en,en_markdown_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a Ministry of Education or a 'School Education' program.,2000,7938,0,The model did not provide the required funding figure and incorrectly claimed the information was unavailable.
gemma4,en,en_markdown_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,How many budget programs does the Ministry of Health have?,,8,The provided context does not contain information regarding the Ministry of Health.,2000,7938,0,"The model did not provide the correct number (8) and claimed no information was available, which is incorrect."
gemma4,en,en_markdown_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,Which program has the largest funding allocation in the 2026 budget?,,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",Реализация государственной политики и осуществление межотрас (3297739.7 тыс.сом),2000,7938,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_markdown_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,How many total ministries and agencies are represented in the program-based budget?,,60,6,2000,7938,0,"The model answered 6, but the correct total is 60, so the answer is incorrect."
gemma4,en,en_markdown_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,,"1,127,306.9 тыс. сом","1,127,306.9 тыс.сом",2000,7938,3,"Exact same numeric value and unit as reference, formatting difference is negligible."
gemma4,en,en_markdown_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,What is the total 2026 funding across all programs of the Ministry of Education?,,"56,424,894.11 тыс. сом",The provided context does not contain information regarding the Ministry of Education.,2000,7938,0,"The model answer does not provide the required funding figure and states lack of information, which is incorrect."
gemma4,en,en_markdown_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,What is the total budget across all program-level items for 2026?,,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","11,211,131.1 тыс.сом",2000,7938,0,"The model's figure (11,211,131.1 тыс. сом) does not match the reference total budget of approximately 593,028,014.8 тыс. сом."
gemma4,en,en_markdown_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,Which ministry receives more funding: Ministry of Health or Ministry of Education?,,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain information regarding the funding for the Ministry of Health or the Ministry of Education.,2000,7938,0,"The model claims no information is available, but the reference provides clear funding figures showing the Ministry of Education receives more."
gemma4,en,en_markdown_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?","Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",,declines by 7.1%,"To determine the change, the total program-level budgets for 2026 and 2027 are calculated:

**2026 Program Totals:**
*   Жогорку Кенеш (Управление и администрирование): 1,047,143.9
*   Жогорку Кенеш (Обеспечение информацией...): 80,163.0
*   Администрация Президента (Администрация Президента КР): 669,719.2
*   Архив Президента (Управление и администрирование): 18,086.2
*   Фонды Президента и Кабинета Министров (Фонд Президента...): 2,030,000.0
*   Управление делами Президента (Обеспечение и координация...): 2,837,368.8
*   Управление делами Президента (Организация и координация...): 805,338.5
*   Управление делами Президента (Создание и развитие...): 116,882.7
*   Управление делами Президента (Реализация государственной политики...): 3,297,739.7
*   Верховный суд (Управление и администрирование): 406,745.3
*   Верховный суд (Эффективное продвижение...): 290,900.9
*   Верховный суд (Управление и общая координация...): 3,392.5
**Total 2026: 11,603,480.5 тыс.сом**

**2027 Program Totals:**
*   Жогорку Кенеш (Управление и администрирование): 1,069,070.0
*   Жогорку Кенеш (Обеспечение информацией...): 80,163.0
*   Администрация Президента (Администрация Президента КР): 683,113.6
*   Архив Президента (Управление и администрирование): 18,447.9
*   Фонды Президента и Кабинета Министров (Фонд Президента...): 2,030,000.0
*   Управление делами Президента (Обеспечение и координация...): 2,571,414.9
*   Управление делами Президента (Организация и координация...): 819,431.4
*   Управление делами Президента (Создание и развитие...): 119,819.9
*   Управление делами Президента (Реализация государственной политики...): 3,303,809.0
*   Верховный суд (Управление и администрирование): 409,477.6
*   Верховный суд (Эффективное продвижение...): 296,718.9
*   Верховный суд (Управление и общая координация...): 3,664.5
**Total 2027: 11,405,130.7 тыс.сом**

**Result:**
The total program-level budget shrinks by 1.71%.",2000,7938,2,Correctly identifies a decline but gives the wrong percentage (1.71% vs reference 7.1%).
gemma4,en,en_markdown_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,Which program has the smallest non-zero funding in 2026?,,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"The program with the smallest non-zero funding in 2026 is ""Управление и общая координация развития сельскохозяйственной"" under the Верховный суд Кыргызской Республики, with 3392.5 тыс.сом.",2000,7938,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,en,en_markdown_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,,Процент (%),"The provided context does not specify a single unit of measurement for performance indicators; indicators are described qualitatively (e.g., ""Количество,"" ""Доля,"" ""Процент,"" ""Соотношение,"" ""Уровень,"" ""Полнота"").",2000,7938,0,The model answer does not provide the correct unit 'Процент (%)' and instead claims no single unit is specified.
gemma4,en,en_markdown_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,What is the total 2026 program funding for the Ministry of Transport and Communications?,,"16,881,928.10 тыс. сом",The provided context does not contain information regarding the Ministry of Transport and Communications.,2000,7938,0,"The model answer fails to provide the required funding figure, stating no information is available."
gemma4,en,en_markdown_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,How many ministries/agencies have exactly one budget program?,,22,"3 (Архив Президента Кыргызской Республики, Администрация Президента Кыргызской Респ, Фонды Президента и Кабинета Министров Кы)",2000,7938,0,"The model gave 3 instead of the correct 22, providing incorrect numbers and entities."
gemma4,en,en_markdown_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,How many programs show funding growth of more than 10% between 2026 and 2027?,,9,0,2000,7938,0,"The model answered 0, which does not match the correct value of 9."
gemma4,en,en_markdown_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,How many rows in the budget have a performance indicator measured in people (чел.)?,,57,The provided context does not contain any performance indicators measured in people (чел.).,2000,7938,0,"Model answer states there are none, contradicting the correct answer of 57 rows."
gemma4,en,en_markdown_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,,"56% (332,149,236.2 out of 593,028,014.9)",The provided context does not contain information regarding the Ministry of Finance (General State Expenditures).,2000,7938,0,"The model answer does not provide the correct share (56%) and claims the information is missing, which is incorrect."
