model,context,question_id,difficulty,category,question_en,reference_answer,model_answer,token_budget,context_chars,judge_score,judge_reasoning
gemma4,statements_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding the 'School Education' program.,2000,7863,0,"The model did not provide the required funding figure, stating lack of information instead of the correct value."
gemma4,statements_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain information regarding the number of budget programs for the Ministry of Health.,2000,7969,0,The model did not provide the correct number (8) and instead claimed the information was unavailable.
gemma4,statements_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",Министерство просвещения Кыргызской Республики (56.4 billion som).,2000,7895,0,"The model gave a different program and amount, not matching the reference answer."
gemma4,statements_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,60,56,2000,7965,2,The answer addresses the correct entity (total ministries and agencies) but provides an incorrect number (56 instead of 60).
gemma4,statements_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,2000,7967,3,"Model's 1.1 billion som correctly approximates the reference 1,127,306.9 тыс. сом (≈1.127 billion som)."
gemma4,statements_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом","The provided context does not contain information regarding a ""Ministry of Education""; however, the total 2026 allocation for 'Министерство просвещения Кыргызской Республики' is 56.4 billion som.",2000,7916,3,"The model provides the correct total funding (≈56.4 billion som), matching the reference value."
gemma4,statements_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,2000,7955,0,"Model answer claims the information is missing, but reference provides the total budget value, so the answer is incorrect."
gemma4,statements_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения",The provided context does not contain funding information for the Ministry of Health (code 37) or the Ministry of Education (code 34).,2000,7816,0,"The model claims no funding information is available, contradicting the reference which provides the amounts and shows Education receives more."
gemma4,statements_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,The provided context does not contain information regarding the total program-level budget for the Kyrgyz Republic; it only lists changes for individual entities.,2000,7962,0,"The model did not provide the required answer about the budget change, instead claiming lack of information."
gemma4,statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"Program 45/263 'Общегосударственные программы' has 0.0 тыс. сом, so the smallest non-zero funding in 2026 is Program 68/001 'Управление и администрирование' with 8,993.7 тыс. сом.",2000,7994,0,"The model answer gives a different program and amount, not matching the reference's smallest non-zero funding of 739.4 тыс. сом."
gemma4,statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement is percent (%).,2000,7908,3,The model correctly identifies the unit as percent (%) matching the reference answer.
gemma4,statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10 тыс. сом",16.9 billion som,2000,7985,3,"Model answer correctly gives the total program funding, rounding 16,881,928.10 thousand som to approximately 16.9 billion som."
