model,context,condition,question_id,difficulty,category,question,reference_answer,model_answer,raw_model_answer,context_chars,n_statements,judge_score,judge_reasoning
qwen3.5,ru_statements_top500,top500,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом","42,380,106.4 тыс. сом.","<scratchpad>
Релевантная строка из контекста:
- ""По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Школьное образование» (код программы 343) получает 42,380,106.4 тыс. сом в 2026 году, 43,462,341.1 тыс. сом в 2027 году, 44,571,272.0 тыс. сом в 2028 году.""

Проверка суммы бюджетных мер внутри программы:
- Мера 01 («Поддержание функционирования сети...»): 42,158,805.5 тыс. сом в 2026 году.
- Мера 02 («Повышение качества образования»): 221,300.9 тыс. сом в 2026 году.
- Сумма: 42,158,805.5 + 221,300.9 = 42,380,106.4 тыс. сом.

Значение для 2026 года совпадает с указанным объемом финансирования программы.
</scratchpad>
42,380,106.4 тыс. сом.",143713,500,3,The model answer exactly matches the reference value for the funding amount.
qwen3.5,ru_statements_top500,top500,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,"7 бюджетных программ.
Список программ:
1. «Управление и администрирование» (код 001)
2. «Программа «Общественное здравоохранение»» (код 372)
3. «Программа «Организация предоставления услуг здравоохранения»» (код 373)
4. «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»» (код 374)
5. «Предоставление услуг первично-медико санитарной помощи» (код 375)
6. «Предоставление услуг медицинскими учреждениями на стационарном уровне» (код 376)
7. «Обеспечение доступа к льготному гемодиализному лечению» (код 377)","<scratchpad>
1. Поиск строк контекста, содержащих «Министерство здравоохранения Кыргызской Республики» и «программа»:
   - «...программа «Программа «Общественное здравоохранение»» (код программы 372)...»
   - «...программа «Программа «Организация предоставления услуг здравоохранения»» (код программы 373)...»
   - «...программа «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»» (код программы 374)...»
   - «...программа «Управление и администрирование» (код программы 001)...»
   - «...программа «Предоставление услуг первично-медико санитарной помощи» (код программы 375)...»
   - «...программа «Обеспечение доступа к льготному гемодиализному лечению» (код программы 377)...»
   - «...программа «Предоставление услуг медицинскими учреждениями на стационарном уровне» (код программы 376)...»
2. Выделение уникальных кодов программ: 372, 373, 374, 001, 375, 377, 376.
3. Подсчет количества уникальных программ: 7.
</scratchpad>
7 бюджетных программ.
Список программ:
1. «Управление и администрирование» (код 001)
2. «Программа «Общественное здравоохранение»» (код 372)
3. «Программа «Организация предоставления услуг здравоохранения»» (код 373)
4. «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»» (код 374)
5. «Предоставление услуг первично-медико санитарной помощи» (код 375)
6. «Предоставление услуг медицинскими учреждениями на стационарном уровне» (код 376)
7. «Обеспечение доступа к льготному гемодиализному лечению» (код 377)",160418,500,2,Correct entity (budget programs) but the number given (7) is wrong; reference states 8.
qwen3.5,ru_statements_top500,top500,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Программа «Общегосударственные программы» (код программы 263) ведомства «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» имеет наибольшее финансирование в 2026 году — 164,663,857.2 тыс. сом.","<scratchpad>
1. Поиск строк с финансированием программ на 2026 год в контексте.
2. Выявленные значения финансирования программ в 2026 году (тыс. сом):
   - «Общегосударственные программы» (код 263): 164,663,857.2
   - «Государственные программы, мероприятия и выплаты» (код 264): 118,757,161.3
   - «Пенсионное обеспечение и компенсации за счет бюджетных средств» (код 262): 46,670,347.3
   - «Школьное образование» (код 343): 42,380,106.4
   - «Поддержка семей и детей, находящиеся в трудной жизненной ситуации» (код 382): 15,529,568
   - «Поддержание автомобильных дорог общего пользования в рабочем состоянии» (код 432): 8,025,670.7
   - «Организация предоставления услуг здравоохранения» (код 373): 6,305,318.8
3. Сравнение значений: 164,663,857.2 > 118,757,161.3 > 46,670,347.3 > ...
4. Максимальное значение: 164,663,857.2 тыс. сом.
5. Соответствующая программа: «Общегосударственные программы» (код программы 263).
</scratchpad>
Программа «Общегосударственные программы» (код программы 263) ведомства «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» имеет наибольшее финансирование в 2026 году — 164,663,857.2 тыс. сом.",156210,500,3,The model correctly identifies the program and exact funding amount matching the reference.
qwen3.5,ru_statements_top500,top500,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,60,60,"<scratchpad>
1.  Министерство финансов Кыргызской Республики (код 25)
2.  Министерство юстиции Кыргызской Республики (код 22)
3.  Министерство здравоохранения Кыргызской Республики (код 37)
4.  Министерство просвещения Кыргызской Республики (код 34)
5.  Министерство иностранных дел Кыргызской Республики (код 23)
6.  Государственное агентство по регистрации транспортных средств и водительского состава при Кабинете Министров Кыргызской Республики (код 52)
7.  Министерство энергетики Кыргызской Республики (код 55)
8.  Министерство экономики и коммерции Кыргызской Республики (код 28)
9.  Управление делами Президента Кыргызской Республики (код 15)
10. Министерство науки, высшего образования и инноваций Кыргызской Республики (код 31)
11. Министерство труда, социального обеспечения и миграции Кыргызской Республики (код 38)
12. Администрация Президента Кыргызской Республики (код 12)
13. Министерство чрезвычайных ситуаций Кыргызской Республики (код 45)
14. Министерство транспорта и коммуникаций Кыргызской Республики (код 43)
15. Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты) (код 26) — Уникальная строка (отличается суффиксом и кодом от п.1)
16. Академия государственного управления при Президенте Кыргызской Республики (код 39)
17. Государственное учреждение «Фонд зеленой энергетики» при Кабинете Министров Кыргызской Республики (код 54)
18. Фонды Президента и Кабинета Министров Кыргызской Республики (код 14)
19. Архив Президента Кыргызской Республики (код 13)
20. Государственное агентство по управлению государственным имуществом при Кабинете Министров Кыргызской Республики (код 53)
21. Министерство культуры, информации и молодежной политики Кыргызской Республики (код 44)
22. Министерство природных ресурсов, экологии и технического надзора Кыргызской Республики (код 65)
23. Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики (код 42)
24. Верховный суд Кыргызской Республики (код 16)
25. Государственное агентство по делам государственной службы и местного самоуправления при Кабинете Министров Кыргызской Республики (код 59)
26. Государственное агентство по защите персональных данных при Кабинете Министров Кыргызской Республики (код 58)
27. Счетная палата Кыргызской Республики (код 17)
28. Министерство цифрового развития и инновационных технологий Кыргызской Республики (код 69)
29. Центр перевода Кабинета Министров Кыргызской Республики (код 87)
30. Государственная служба исполнения наказаний при при Кабинете Министров Кыргызской Республики (код 48)
31. Государственное агенство физической культуры и спорта при Кабинете Министров Кыргызской Республики (код 47)
32. Национальная академия наук Кыргызской Республики (код 80)
33. Жогорку Кенеш Кыргызской Республики (код 11)
34. Военная прокуратура Кыргызской Республики (код 20)
35. Генеральная прокуратура Кыргызской Республики (код 19)
36. Министерство водных ресурсов, сельского хозяйства и перерабатывающей промышленности Кыргызской Республики (код 41)
37. Конституционный суд Кыргызской Республики (код 27)
38. Национальное агентство по инвестициям при Президенте Кыргызской Республики (код 57)
39. Национальный статистический комитет Кыргызской Республики (код 74)
40. Секретариат Совета безопасности Кыргызской Республики (код 79)
41. Телерадиовещательные компании Кыргызской Республики (код 85)
42. Государственное учреждение «Клиническая больница Управления делами Президента Кыргызской Республики» (код 81)
43. Резервные и другие фонды территорий (код 24)
44. Редакции журналов и газет (код 84)
45. Национальный институт стратегических инициатив при Президенте Кыргызской Республики (код 70)
46. Государственное учреждение «Национальная академия «Манас»» (код 88)
47. Министерство строительства, архитектуры и жилищно-коммунального хозяйства Кыргызской Республики (код 60)
48. Государственное агентство по земельным ресурсам, кадастру, геодезии и картографии при Кабинете Министров Кыргызской Республики (код 51)
49. Секретариат Народного Курултая (код 83)
50. Государственное агентство по контролю за производством и оборотом этилового спирта, алкогольной продукции при Кабинете Министров Кыргызской Республики (код 56)
51. Секретариат Национальной комиссии Кыргызской Республики по делам ЮНЕСКО (код 68)
52. Центральная комиссия по выборам и проведению референдумов Кыргызской Республики (код 18)
53. Национальная комиссия по государственному языку и языковой политике при Президенте Кыргызской Республики (код 50)
54. Национальное агентство по делам религий и межэтнических отношений при Президенте Кыргызской Республики (код 64)
55. Омбудсмен (Акыйкатчы) Кыргызской Республики (код 21)
56. Общественное объединение «Кыргызское общество слепых и глухих» (код 49)
57. Центрально-Азиатский институт прикладных исследований Земли (код 46)
58. Национальный центр Кыргызской Республики по предупреждению пыток и других жестоких, бесчеловечных или унижающих достоинство видов обращения и наказания (код 82)
59. Государственное учреждение «Дирекция по управлению средствами специального счета Токтогульского района и села Жазы-Кечуу города Кара-Куль Джалал-Абадской области» (код 86)
60. Общественное объединение «Республиканский Совет ветеранов войны, вооруженных сил, правоохранительных органов и труженников тыла Кыргызской Республики» (код 40)

Всего строк с указанием «Министерство/ведомство ... включено в программный бюджет на 2026 год»: 60.
Все названия уникальны (включая вариант Министерства финансов с кодом 26, имеющий суффикс).
</scratchpad>
60",153796,500,3,"The model answer matches the reference answer exactly, providing the correct number of ministries and agencies."
qwen3.5,ru_statements_top500,top500,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом","1,127,306.9 тыс. сом.","<scratchpad>
1. Найдена строка: ""По ведомству «Жогорку Кенеш Кыргызской Республики» (код 11) программа «Управление и администрирование» (код программы 001) получает 1,047,143.9 тыс. сом в 2026 году"". Значение: 1,047,143.9 тыс. сом.
2. Найдена строка: ""По ведомству «Жогорку Кенеш Кыргызской Республики» (код 11) программа «Обеспечение информацией о деятельности, контроля исполнения, кадров, организация и взаимодействие со СМИ» (код программы 113) получает 80163 тыс. сом в 2026 году"". Значение: 80,163.0 тыс. сом.
3. Найдена строка: ""Итого по ведомству «Жогорку Кенеш Кыргызской Республики» (код 11): 1,127,306.9 тыс. сом в 2026 году"". Значение: 1,127,306.9 тыс. сом.
4. Проверка суммы: 1,047,143.9 + 80,163.0 = 1,127,306.9.
5. Итоговое значение: 1,127,306.9 тыс. сом.
</scratchpad>
1,127,306.9 тыс. сом.",156672,500,3,The model answer exactly matches the reference value for total funding of the parliament in 2026.
qwen3.5,ru_statements_top500,top500,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом","Программа «Управление и администрирование»: 1,962,869.4 тыс. сом
Программа «Школьное образование»: 42,380,106.4 тыс. сом
Программа «Начальное и среднее профессиональное образование»: 2,178,080.8 тыс. сом
Программа «Дошкольное образование и предшкольная подготовка»: 8,891,657.5 тыс. сом
Мера «Реализация проектов государственных инвестиций»: 1,012,180.0 тыс. сом
Итого: 56,424,894.1 тыс. сом","<scratchpad>
1. Поиск строк с финансированием Министерства просвещения (код 34) на 2026 год.
2. Найдены следующие программы и меры:
   - Программа «Управление и администрирование» (001): 1,962,869.4 тыс. сом.
   - Программа «Школьное образование» (343): 42,380,106.4 тыс. сом.
   - Программа «Начальное и среднее профессиональное образование» (344): 2,178,080.8 тыс. сом.
   - Программа «Дошкольное образование и предшкольная подготовка» (342): 8,891,657.5 тыс. сом.
   - Бюджетная мера «Реализация проектов государственных инвестиций» (в рамках ведомства): 1,012,180 тыс. сом.
3. Найдена строка с итоговым значением по ведомству:
   - Итого по ведомству «Министерство просвещения Кыргызской Республики» (код 34): 56,424,894.1 тыс. сом.
4. Проверка суммы:
   1,962,869.4 + 42,380,106.4 + 2,178,080.8 + 8,891,657.5 + 1,012,180.0 = 56,424,894.1.
   Сумма совпадает с указанным итогом.
</scratchpad>

Программа «Управление и администрирование»: 1,962,869.4 тыс. сом
Программа «Школьное образование»: 42,380,106.4 тыс. сом
Программа «Начальное и среднее профессиональное образование»: 2,178,080.8 тыс. сом
Программа «Дошкольное образование и предшкольная подготовка»: 8,891,657.5 тыс. сом
Мера «Реализация проектов государственных инвестиций»: 1,012,180.0 тыс. сом
Итого: 56,424,894.1 тыс. сом",152754,500,3,"Model answer gives the exact total funding (56,424,894.1 тыс. сом) matching the reference value."
qwen3.5,ru_statements_top500,top500,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","Суммарный бюджет всех программ на уровне программ на 2026 год составляет 457,928,504.6 тыс. сом.","<scratchpad>
1.  **Выявление строк с бюджетом программ на 2026 год:**
    *   Телерадиовещательные компании (852): 1,244,130.4
    *   Верховный суд (001): 406,745.3
    *   Минздрав (376): 15,638,295.2
    *   Фонды Президента (142): 2,030,000.0
    *   Нацстатком (001): 616,423.8
    *   Нац инстит стратег инициатив (001): 13,560.0
    *   Минюст (001): 282,746.0
    *   Архив Президента (001): 18,086.2
    *   Верховный суд (166): 3,392.5
    *   НАН КР (804): 96,094.1
    *   Верховный суд (162): 290,900.9
    *   Нацстатком (742): 65,686.0
    *   Гос авиа (001): 99,554.4
    *   Минэнерго (001): 128,453.6
    *   Гос защита перс данных (001): 43,252.2
    *   Воен прокуратура (001): 152,559.6
    *   Фонд зеленой энергетики (001): 14,991.7
    *   Телерадио (856): 77,139.7
    *   Ген прокуратура (001): 666,610.0
    *   Счетная палата (001): 165,033.1
    *   Минфин (263): 164,663,857.2
    *   Минздрав (372): 2,170,534.1
    *   Минфин (001): 2,077,532.3
    *   МЧС (001): 184,945.8
    *   Гос агентство физ культуры (001): 54,957.0
    *   Минтранс (001): 119,287.5
    *   Минфин (262): 46,670,347.3
    *   Минздрав (373): 6,305,318.8
    *   Конституционный суд (272): 81,635.4
    *   Минэкономики (287): 53,903.0
    *   Мин науки (001): 737,759.3
    *   Нац агентство инвестиций (001): 71,643.5
    *   Секретариат ЮНЕСКО (001): 8,993.7
    *   Нац комиссия по языку (001): 26,079.6
    *   ЦИК (001): 174,569.0
    *   Минюст (225): 181,071.6
    *   Минфин (264): 118,757,161.3
    *   Счетная палата (172): 561,208.7
    *   Академия гос управления (001): 35,953.6
    *   Ген прокуратура (192): 365,908.9
    *   Телерадио (001): 208,952.6
    *   Нац академия «Манас» (001): 11,260.6
    *   МИД (001): 2,287,244.9
    *   Минцифры (001): 487,435.1
    *   Жогорку Кенеш (001): 1,047,143.9
    *   Гос агентство гос службы (001): 76,997.1
    *   Минздрав (001): 321,933.8
    *   Минюст (229): 245,999.5
    *   Минэнерго (556): 24,094.2
    *   Минфин (253): 332,704.9
    *   Минкультуры (001): 574,119.8
    *   Гос агентство гос службы (592): 24,913.3
    *   Минфин (254): 10,614,609.5
    *   Минпросвещения (001): 1,962,869.4
    *   Управление делами Президента (153): 805,338.5
    *   Нац инстит стратег инициатив (702): 42,253.4
    *   Омбудсмен (001): 115,861.1
    *   МЧС (452): 691,230.1
    *   Нац центр по предупреждению пыток (001): 32,091.4
    *   Минэкономики (001): 269,739.3
    *   Минздрав (374): 962,011.6
    *   Ген прокуратура (194): 68,715.5
    *   Нацстатком (743): 13,161.7
    *   Управление делами Президента (154): 116,882.7
    *   Администрация Президента (122): 669,719.2
    *   Минприроды (001): 1,210,859.2
    *   Телерадио (855): 140,250.4
    *   Минпросвещения (343): 42,380,106.4
    *   Нац агентство по делам религий (001): 61,534.1
    *   Центрально-Азиатский институт (001): 6,239.5
    *   Минэкономики (288): 19,561.8
    *   Гос служба исполнения наказаний (483): 551,932.5
    *   ЦИК (182): 59,137.4
    *   Минюст (223): 191,314.8
    *   МИД (233): 44,684.4
    *   Минфин (265): 2,057,870.4
    *   Гос агентство по контролю за алкоголем (001): 42,136.2
    *   Минприроды (654): 86,522.3
    *   Верховный суд (167): 3,787,470.5
    *   Академия гос управления (393): 48,781.2
    *   Минприроды (653): 309,621.3
    *   Минводхоз (001): 425,993.2
    *   Минэкономики (284): 213,365.4
    *   Гос служба исполнения наказаний (482): 2,724,111.8
    *   Минцифры (693): 235,540.7
    *   Управление делами Президента (152): 2,837,368.8
    *   Минводхоз (412): 1,294,075.7
    *   Минпросвещения (344): 2,178,080.8
    *   Минприроды (652): 241,520.6
    *   Минводхоз (413): 479,788.0
    *   Минэнерго (555): 71,785.3
    *   Мин науки (312): 132,692.0
    *   Мин науки (315): 244,173.0
    *   Гос агентство физ культуры (472): 2,392,955.1
    *   МИД (232): 2,408,549.4
    *   Общественное объединение «Республиканский Совет ветеранов» (402): 739.4
    *   Гос агентство по земельным ресурсам (512): 2,246,762.8
    *   Минэнерго (554): 78,720.4
    *   Минводхоз (415): 579,867.8
    *   Нац академия «Манас» (882): 31,215.1
    *   Минцифры (696): 476,116.2
    *   Редакции журналов и газет (842): 6,630.4
    *   Минтранс (434): 320,964.6
    *   Минприроды (655): 23,000.0

2.  **Суммирование:**
    *   Крупные (>10 млн): 398,724,376.9
    *   Средне-крупные (1-10 млн): 42,262,878.3
    *   Средние (0.1-1 млн): 16,941,249.4
    *   Итого: 398,724,376.9 + 42,262,878.3 + 16,941,249.4 = 457,928,504.6

</scratchpad>
Суммарный бюджет всех программ на уровне программ на 2026 год составляет 457,928,504.6 тыс. сом.",145837,500,2,The answer addresses the correct entity (total program-level budget) but provides an incorrect numeric value.
qwen3.5,ru_statements_top500,top500,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","Министерство просвещения Кыргызской Республики получает больше финансирования.
Бюджет Министерства просвещения на 2026 год: 56,424,894.1 тыс. сом.
Бюджет Министерства здравоохранения на 2026 год: 41,621,347.3 тыс. сом.
Разница составляет 14,803,546.8 тыс. сом в пользу Министерства просвещения.","<scratchpad>
1. Найдено значение для Министерства просвещения Кыргызской Республики (код 34) на 2026 год:
   - Строка контекста: ""Итого по ведомству «Министерство просвещения Кыргызской Республики» (код 34): 56,424,894.1 тыс. сом в 2026 году...""
   - Сумма: 56,424,894.1 тыс. сом.

2. Найдено значение для Министерства здравоохранения Кыргызской Республики (код 37) на 2026 год:
   - Строка контекста: ""Итого по ведомству «Министерство здравоохранения Кыргызской Республики» (код 37): 41,621,347.3 тыс. сом в 2026 году...""
   - Сумма: 41,621,347.3 тыс. сом.

3. Сравнение:
   - 56,424,894.1 > 41,621,347.3
   - Министерство просвещения получает больше.

4. Вычисление разницы:
   - 56,424,894.1 - 41,621,347.3 = 14,803,546.8 тыс. сом.
</scratchpad>
Министерство просвещения Кыргызской Республики получает больше финансирования.
Бюджет Министерства просвещения на 2026 год: 56,424,894.1 тыс. сом.
Бюджет Министерства здравоохранения на 2026 год: 41,621,347.3 тыс. сом.
Разница составляет 14,803,546.8 тыс. сом в пользу Министерства просвещения.",157972,500,3,The model correctly identifies the Ministry of Education as receiving more funding and provides matching budget figures.
qwen3.5,ru_statements_top500,top500,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,"В предоставленном контексте недостаточно информации для ответа на вопрос. Контекст содержит отдельные бюджетные allocations по различным ведомствам и программам, но не содержит общей суммы бюджета по всем программам за 2026 и 2027 годы, что необходимо для расчёта процентного изменения.","<scratchpad>
Проверяю контекст на наличие общих сумм бюджета по всем программам за 2026 и 2027 годы.

В контексте представлены:
- Отдельные бюджетные меры по ведомствам (например, Министерство финансов, Министерство здравоохранения, и т.д.)
- Отдельные программы по ведомствам
- Показатели результативности

Однако в предоставленном контексте НЕТ общей суммы бюджета по всем программам за 2026 год и 2027 год. Есть только разрозненные данные по отдельным ведомствам и программам.

Для расчёта процентного изменения общего бюджета между 2026 и 2027 годами необходимы:
1. Общая сумма бюджета всех программ за 2026 год
2. Общая сумма бюджета всех программ за 2027 год

Эти агрегированные данные в контексте отсутствуют.
</scratchpad>

В предоставленном контексте недостаточно информации для ответа на вопрос. Контекст содержит отдельные бюджетные allocations по различным ведомствам и программам, но не содержит общей суммы бюджета по всем программам за 2026 и 2027 годы, что необходимо для расчёта процентного изменения.",149978,500,0,"The model claims insufficient information, whereas the reference provides a specific answer (decline of 7.1%)."
qwen3.5,ru_statements_top500,top500,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Программа «Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций» (код программы 402) имеет наименьшее ненулевое финансирование в 2026 году — 739.4 тыс. сом.,"<scratchpad>
1.  Поиск строк с указанием финансирования программы в 2026 году (формат: ""программа ... получает ... тыс. сом в 2026 году"").
2.  Выявленные значения финансирования программ в 2026 году (тыс. сом):
    *   «Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций» (код 402): 739.4
    *   «Секретариат Совета безопасности» (код 792): 6,488.1
    *   «Издание газеты «Эркин- Тоо»» (код 842): 6,630.4
    *   «Управление и администрирование» (Центрально-Азиатский институт, код 001): 6,239.5
    *   «Управление и администрирование» (Секретариат ЮНЕСКО, код 001): 8,993.7
    *   «Разработка, совершенствование и внедрение научно-обоснованной методологии в области статистики» (код 743): 13,161.7
    *   «Управление и администрирование» (Нац. инст. стратег. инициатив, код 001): 13,560
    *   «Управление и администрирование» (Фонд зеленой энергетики, код 001): 14,991.7
    *   «Совершенствование системы местного самоуправления» (код 593): 16,197.4
    *   «Реализация программ дополнительного образования граждан...» (код 582): 16,853.2
    *   Остальные программы имеют финансирование выше 18,000 тыс. сом.
3.  Сравнение наименьших значений: 739.4 < 6,239.5 < 6,488.1 < 6,630.4.
4.  Наименьшее ненулевое значение: 739.4 тыс. сом.
5.  Соответствующая программа: «Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций».
</scratchpad>
Программа «Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций» (код программы 402) имеет наименьшее ненулевое финансирование в 2026 году — 739.4 тыс. сом.",163624,500,2,"The amount is correct, but the program name is altered by adding extra words, so the answer is only partially correct."
