model,context,avg_score,easy_avg,medium_avg,hard_avg,n_evaluated
deepseek-v3.2,markdown_16000tok,1.0,2.2,0.86,0.38,20
deepseek-v3.2,markdown_2000tok,0.15,0.6,0.0,0.0,20
deepseek-v3.2,markdown_8000tok,0.35,1.2,0.0,0.12,20
deepseek-v3.2,markdown_full,1.15,2.6,1.0,0.38,20
deepseek-v3.2,statements_16000tok,1.1,1.4,1.71,0.38,20
deepseek-v3.2,statements_2000tok,0.55,0.6,0.86,0.25,20
deepseek-v3.2,statements_8000tok,1.1,1.4,1.71,0.38,20
deepseek-v3.2,statements_full,1.05,1.2,1.71,0.38,20
deepseek-v3.2-thinking,markdown_16000tok,1.2,2.2,1.43,0.38,20
deepseek-v3.2-thinking,markdown_2000tok,0.35,0.6,0.29,0.25,20
deepseek-v3.2-thinking,markdown_8000tok,0.7,1.2,0.29,0.75,20
deepseek-v3.2-thinking,markdown_full,1.45,2.2,1.57,0.88,20
deepseek-v3.2-thinking,statements_16000tok,1.2,1.4,1.71,0.62,20
deepseek-v3.2-thinking,statements_2000tok,0.5,0.8,0.86,0.0,20
deepseek-v3.2-thinking,statements_8000tok,1.2,1.2,2.14,0.38,20
deepseek-v3.2-thinking,statements_full,1.35,1.8,2.14,0.38,20
gemma4,markdown_16000tok,1.3,2.2,1.29,0.75,20
gemma4,markdown_2000tok,0.35,0.6,0.29,0.25,20
gemma4,markdown_8000tok,0.35,1.2,0.0,0.12,20
gemma4,markdown_full,1.35,2.6,1.14,0.75,20
gemma4,statements_16000tok,1.4,1.6,2.14,0.62,20
gemma4,statements_2000tok,0.6,1.0,1.0,0.0,20
gemma4,statements_8000tok,1.4,1.6,2.14,0.62,20
gemma4,statements_full,1.4,1.6,2.14,0.62,20
mistral-small-4,markdown_16000tok,1.35,2.6,1.29,0.62,20
mistral-small-4,markdown_2000tok,0.15,0.6,0.0,0.0,20
mistral-small-4,markdown_8000tok,0.3,0.4,0.29,0.25,20
mistral-small-4,markdown_full,1.5,2.0,1.86,0.88,20
mistral-small-4,statements_16000tok,1.35,1.0,2.43,0.62,20
mistral-small-4,statements_2000tok,0.58,0.6,1.33,0.0,19
mistral-small-4,statements_8000tok,1.3,1.0,2.43,0.5,20
mistral-small-4,statements_full,1.3,1.0,2.29,0.62,20
qwen3.5,markdown_16000tok,1.8,2.6,1.71,1.38,20
qwen3.5,markdown_2000tok,0.45,0.6,0.29,0.5,20
qwen3.5,markdown_8000tok,0.95,1.0,0.57,1.25,19
qwen3.5,markdown_full,1.9,2.2,1.71,1.88,20
qwen3.5,statements_16000tok,1.37,1.4,2.0,0.88,19
qwen3.5,statements_2000tok,0.68,0.75,0.86,0.5,19
qwen3.5,statements_8000tok,1.44,1.4,2.0,1.0,18
qwen3.5,statements_full,1.37,1.4,2.0,0.88,19
