model,context,avg_score,easy_avg,medium_avg,hard_avg,n_evaluated
deepseek-v4-pro-thinking,ru_markdown_16000tok,1.95,2.4,2.29,1.38,20
deepseek-v4-pro-thinking,ru_markdown_8000tok,0.95,1.2,0.33,1.25,19
deepseek-v4-pro-thinking,ru_markdown_full,2.75,2.8,3.0,2.5,20
deepseek-v4-pro-thinking,ru_statements_16000tok,1.84,3.0,1.5,1.38,19
deepseek-v4-pro-thinking,ru_statements_8000tok,1.5,2.4,1.71,0.75,20
deepseek-v4-pro-thinking,ru_statements_full,2.0,3.0,1.71,1.62,20
deepseek-v4-pro-thinking,ru_structured_16000tok,2.16,2.8,1.67,2.12,19
deepseek-v4-pro-thinking,ru_structured_8000tok,2.21,2.8,1.67,2.25,19
deepseek-v4-pro-thinking,ru_structured_full,2.26,2.8,1.67,2.38,19
glm-5,ru_markdown_16000tok,1.88,2.2,2.25,1.43,16
glm-5,ru_markdown_8000tok,1.22,1.2,0.6,1.62,18
glm-5,ru_markdown_full,2.59,2.8,2.8,2.29,17
glm-5,ru_statements_16000tok,1.85,3.0,1.57,1.38,20
glm-5,ru_statements_8000tok,1.55,2.4,1.71,0.88,20
glm-5,ru_statements_full,2.0,3.0,1.71,1.62,20
glm-5,ru_structured_16000tok,2.26,2.8,1.83,2.25,19
glm-5,ru_structured_8000tok,2.11,2.6,2.0,1.83,18
glm-5,ru_structured_full,2.06,2.4,1.83,2.0,18
kimi-k2.6,ru_markdown_16000tok,2.0,2.4,2.25,1.25,13
kimi-k2.6,ru_markdown_8000tok,0.95,1.2,0.33,1.25,19
kimi-k2.6,ru_markdown_full,2.73,2.8,3.0,2.5,15
kimi-k2.6,ru_statements_16000tok,2.07,3.0,2.0,1.25,14
kimi-k2.6,ru_statements_8000tok,1.67,2.4,1.71,1.0,18
kimi-k2.6,ru_statements_full,2.12,3.0,2.0,1.5,17
kimi-k2.6,ru_structured_16000tok,2.27,3.0,1.83,2.2,15
kimi-k2.6,ru_structured_8000tok,2.33,2.8,1.83,2.5,15
kimi-k2.6,ru_structured_full,2.2,2.4,1.83,2.5,15
mistral-medium-3.5,ru_markdown_16000tok,0.85,1.6,0.71,0.5,20
mistral-medium-3.5,ru_markdown_8000tok,0.75,1.2,0.43,0.75,20
mistral-medium-3.5,ru_markdown_full,1.3,2.2,1.14,0.88,20
mistral-medium-3.5,ru_statements_16000tok,1.55,2.6,1.71,0.75,20
mistral-medium-3.5,ru_statements_8000tok,1.55,2.4,1.71,0.88,20
mistral-medium-3.5,ru_statements_full,1.55,2.6,1.71,0.75,20
mistral-medium-3.5,ru_structured_16000tok,1.7,3.0,1.71,0.88,20
mistral-medium-3.5,ru_structured_8000tok,1.75,3.0,1.71,1.0,20
mistral-medium-3.5,ru_structured_full,1.55,3.0,1.71,0.5,20
qwen3.5,ru_markdown_16000tok,2.0,2.4,2.0,1.71,19
qwen3.5,ru_markdown_8000tok,1.2,1.4,0.71,1.5,20
qwen3.5,ru_markdown_full,2.35,2.6,2.57,2.0,20
qwen3.5,ru_statements_16000tok,1.95,3.0,1.71,1.5,20
qwen3.5,ru_statements_8000tok,1.42,2.4,1.5,0.75,19
qwen3.5,ru_statements_full,1.8,3.0,1.71,1.12,20
qwen3.5,ru_structured_16000tok,2.41,2.6,2.2,2.43,17
qwen3.5,ru_structured_8000tok,2.29,2.6,2.2,2.14,17
qwen3.5,ru_structured_full,2.25,2.4,1.86,2.5,20
qwen3.5-122b,ru_markdown_16000tok,1.6,2.2,2.14,0.75,20
qwen3.5-122b,ru_markdown_8000tok,0.95,1.6,0.71,0.75,20
qwen3.5-122b,ru_markdown_full,1.7,2.8,1.57,1.12,20
qwen3.5-122b,ru_statements_16000tok,1.45,2.8,1.71,0.38,20
qwen3.5-122b,ru_statements_8000tok,1.3,2.0,1.71,0.5,20
qwen3.5-122b,ru_statements_full,1.45,2.6,1.71,0.5,20
qwen3.5-122b,ru_structured_16000tok,2.0,2.4,1.57,2.12,20
qwen3.5-122b,ru_structured_8000tok,2.2,2.6,2.0,2.12,20
qwen3.5-122b,ru_structured_full,2.32,2.6,1.86,2.57,19
