model,language,context,question_id,difficulty,category,question,question_en,question_ru,reference_answer,model_answer,raw_model_answer,token_budget,context_chars,judge_score,judge_reasoning
mistral-medium-3.5,ru,ru_statements_8000tok,1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом","42,380,106.4 тыс. сом",,8000,31690,3,"The model answer exactly matches the reference value, providing the correct financing amount."
mistral-medium-3.5,ru,ru_statements_8000tok,2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,7,6,,8000,31982,2,The model identified the correct entity (budgetary programs of the Ministry of Health) but gave an incorrect number (6 instead of the correct 7).
mistral-medium-3.5,ru,ru_statements_8000tok,3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом","Программа «Общегосударственные программы» ведомства «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» с бюджетной мерой «Финансирование проектов экономического развития и накопленные финансовые резервы» (код меры 19) — **24,355,498 тыс. сом**.",,8000,31686,2,"Correct program name identified, but the funding amount is incorrect."
mistral-medium-3.5,ru,ru_statements_8000tok,4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,60,50,,8000,31812,2,Model provided a numeric answer (the right type of information) but the number is incorrect (50 instead of the correct 60).
mistral-medium-3.5,ru,ru_statements_8000tok,5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом","1,127,306.9 тыс. сом",,8000,31811,3,"The model answer exactly matches the reference value, providing the correct financing amount."
mistral-medium-3.5,ru,ru_statements_8000tok,6,medium,aggregation,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,,Каков общий объем финансирования всех программ Министерства просвещения на 2026 год?,"56,424,894.11 тыс. сом","56,424,894.1 тыс. сом",,8000,31918,3,"The model provides the same funding amount, differing only by rounding, which is acceptable."
mistral-medium-3.5,ru,ru_statements_8000tok,7,medium,aggregation,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,,Каков суммарный бюджет всех программ на уровне программ (program level) на 2026 год?,"Примерно 593.0 млрд сом (593,028,014.8 тыс. сом)","В контексте указаны бюджеты только отдельных программ, а не всех программ на уровне программ. Недостаточно информации для расчета суммарного бюджета.",,8000,31861,0,"The model claims insufficient information, but the reference provides the total budget, so the answer is incorrect."
mistral-medium-3.5,ru,ru_statements_8000tok,8,medium,comparison,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,,Какое министерство получает больше финансирования: Министерство здравоохранения или Министерство просвещения?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3 тыс. сом у здравоохранения","Министерство просвещения Кыргызской Республики: 56,424,894.1 тыс. сом.",,8000,31824,3,Model correctly identifies Ministry of Education as the one with higher funding and provides the accurate amount.
mistral-medium-3.5,ru,ru_statements_8000tok,9,medium,comparison,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",,"Как изменяется общий бюджет на уровне программ между 2026 и 2027 годами — растет или сокращается, и на сколько процентов?",declines by 7.1%,В контексте недостаточно данных для расчета изменения общего бюджета на уровне программ между 2026 и 2027 годами.,,8000,31653,0,"The model claims insufficient data, whereas the reference provides a specific decline of 7.1%."
mistral-medium-3.5,ru,ru_statements_8000tok,10,medium,lookup,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,,Какая программа имеет наименьшее ненулевое финансирование в 2026 году?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,«Льготное кредитование малого и среднего предпринимательства» — 20000 тыс. сом.,,8000,31986,0,"The model provided a different program and amount, not matching the reference answer."
mistral-medium-3.5,ru,ru_statements_8000tok,11,medium,indicator,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,,Какая единица измерения индикаторов результативности используется чаще всего в бюджете 2026 года?,Процент (%),%,,8000,31975,3,"Model answer correctly provides the most common unit of measurement, percentage, matching the reference."
mistral-medium-3.5,ru,ru_statements_8000tok,12,medium,aggregation,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,,Каков общий объем финансирования программ Министерства транспорта и коммуникаций на 2026 год?,"16,881,928.10 тыс. сом","16,881,928.1 тыс. сом",,8000,31952,3,"The model provides the exact same funding amount, differing only in decimal formatting, which is acceptable."
