model,context,avg_score,easy_avg,medium_avg,hard_avg,strict_accuracy,lenient_accuracy,n_evaluated
deepseek-v4-pro-thinking,ru_markdown_16000tok,1.9,2.4,2.29,1.25,0.45,0.7,20
deepseek-v4-pro-thinking,ru_markdown_8000tok,0.89,1.2,0.33,1.12,0.158,0.316,19
deepseek-v4-pro-thinking,ru_markdown_full,2.8,2.8,3.0,2.62,0.8,1.0,20
deepseek-v4-pro-thinking,ru_statements_16000tok,1.79,3.0,1.5,1.25,0.526,0.632,19
deepseek-v4-pro-thinking,ru_statements_8000tok,1.45,2.4,1.71,0.62,0.45,0.5,20
deepseek-v4-pro-thinking,ru_statements_full,1.95,3.0,1.71,1.5,0.55,0.7,20
deepseek-v4-pro-thinking,ru_structured_16000tok,2.11,2.8,1.67,2.0,0.526,0.789,19
deepseek-v4-pro-thinking,ru_structured_8000tok,2.16,2.8,1.67,2.12,0.526,0.789,19
deepseek-v4-pro-thinking,ru_structured_full,2.32,2.8,1.67,2.5,0.579,0.842,19
glm-5,ru_markdown_16000tok,1.81,2.2,2.25,1.29,0.438,0.688,16
glm-5,ru_markdown_8000tok,1.17,1.2,0.6,1.5,0.167,0.444,18
glm-5,ru_markdown_full,2.65,2.8,2.8,2.43,0.765,0.941,17
glm-5,ru_statements_16000tok,1.8,3.0,1.57,1.25,0.5,0.65,20
glm-5,ru_statements_8000tok,1.5,2.4,1.71,0.75,0.45,0.5,20
glm-5,ru_statements_full,1.95,3.0,1.71,1.5,0.55,0.7,20
glm-5,ru_structured_16000tok,2.21,2.8,1.83,2.12,0.579,0.789,19
glm-5,ru_structured_8000tok,2.06,2.6,2.0,1.67,0.5,0.722,18
glm-5,ru_structured_full,2.11,2.4,1.83,2.14,0.5,0.778,18
kimi-k2.6,ru_markdown_16000tok,2.0,2.4,2.25,1.25,0.615,0.692,13
kimi-k2.6,ru_markdown_8000tok,0.89,1.2,0.33,1.12,0.158,0.316,19
kimi-k2.6,ru_markdown_full,2.8,2.8,3.0,2.67,0.8,1.0,15
kimi-k2.6,ru_statements_16000tok,2.07,3.0,2.0,1.25,0.643,0.714,14
kimi-k2.6,ru_statements_8000tok,1.61,2.4,1.71,0.83,0.5,0.556,18
kimi-k2.6,ru_statements_full,2.06,3.0,2.0,1.33,0.647,0.706,17
kimi-k2.6,ru_structured_16000tok,2.2,3.0,1.83,2.0,0.6,0.8,15
kimi-k2.6,ru_structured_8000tok,2.27,2.8,1.83,2.25,0.6,0.8,15
kimi-k2.6,ru_structured_full,2.2,2.4,1.83,2.5,0.533,0.8,15
mistral-medium-3.5,ru_markdown_16000tok,0.85,1.6,0.71,0.5,0.15,0.3,20
mistral-medium-3.5,ru_markdown_8000tok,0.7,1.2,0.43,0.62,0.15,0.25,20
mistral-medium-3.5,ru_markdown_full,1.25,2.2,1.14,0.75,0.25,0.45,20
mistral-medium-3.5,ru_statements_16000tok,1.5,2.6,1.71,0.62,0.4,0.55,20
mistral-medium-3.5,ru_statements_8000tok,1.5,2.4,1.71,0.75,0.35,0.55,20
mistral-medium-3.5,ru_statements_full,1.5,2.6,1.71,0.62,0.4,0.55,20
mistral-medium-3.5,ru_structured_16000tok,1.65,3.0,1.71,0.75,0.45,0.6,20
mistral-medium-3.5,ru_structured_8000tok,1.7,3.0,1.71,0.88,0.45,0.6,20
mistral-medium-3.5,ru_structured_full,1.55,3.0,1.71,0.5,0.45,0.55,20
qwen3.5,ru_markdown_16000tok,1.95,2.4,2.0,1.57,0.368,0.789,19
qwen3.5,ru_markdown_8000tok,1.15,1.4,0.71,1.38,0.15,0.45,20
qwen3.5,ru_markdown_full,2.45,2.6,2.57,2.25,0.65,0.9,20
qwen3.5,ru_statements_16000tok,1.95,3.0,1.71,1.5,0.55,0.7,20
qwen3.5,ru_statements_8000tok,1.37,2.4,1.5,0.62,0.421,0.474,19
qwen3.5,ru_statements_full,1.75,3.0,1.71,1.0,0.55,0.6,20
qwen3.5,ru_structured_16000tok,2.35,2.6,2.2,2.29,0.588,0.882,17
qwen3.5,ru_structured_8000tok,2.24,2.6,2.2,2.0,0.588,0.765,17
qwen3.5,ru_structured_full,2.3,2.4,1.86,2.62,0.5,0.9,20
qwen3.5-122b,ru_markdown_16000tok,1.55,2.2,2.14,0.62,0.3,0.6,20
qwen3.5-122b,ru_markdown_8000tok,0.95,1.6,0.71,0.75,0.15,0.35,20
qwen3.5-122b,ru_markdown_full,1.7,2.8,1.57,1.12,0.3,0.65,20
qwen3.5-122b,ru_statements_16000tok,1.45,2.8,1.71,0.38,0.45,0.5,20
qwen3.5-122b,ru_statements_8000tok,1.3,2.0,1.71,0.5,0.3,0.5,20
qwen3.5-122b,ru_statements_full,1.4,2.6,1.71,0.38,0.4,0.5,20
qwen3.5-122b,ru_structured_16000tok,1.95,2.4,1.57,2.0,0.45,0.75,20
qwen3.5-122b,ru_structured_8000tok,2.15,2.6,2.0,2.0,0.5,0.75,20
qwen3.5-122b,ru_structured_full,2.26,2.6,1.86,2.43,0.526,0.842,19
