model,context,avg_score,easy_avg,medium_avg,hard_avg,n_evaluated
deepseek-v3.2,en_structured_full,1.0,0,0,1.0,8
deepseek-v3.2,ru_markdown_16000tok,1.4,2.4,1.71,0.5,20
deepseek-v3.2,ru_markdown_2000tok,0.5,0.6,0.43,0.5,20
deepseek-v3.2,ru_markdown_8000tok,0.55,1.2,0.0,0.62,20
deepseek-v3.2,ru_markdown_full,1.5,2.2,1.71,0.88,20
deepseek-v3.2,ru_statements_16000tok,1.6,2.8,1.71,0.75,20
deepseek-v3.2,ru_statements_2000tok,1.3,2.4,1.57,0.38,20
deepseek-v3.2,ru_statements_8000tok,1.3,2.2,1.71,0.38,20
deepseek-v3.2,ru_statements_full,1.6,2.8,1.71,0.75,20
deepseek-v3.2,ru_structured_16000tok,1.65,2.8,1.14,1.38,20
deepseek-v3.2,ru_structured_2000tok,0.85,1.8,0.71,0.38,20
deepseek-v3.2,ru_structured_8000tok,1.4,2.8,1.14,0.75,20
deepseek-v3.2,ru_structured_full,1.35,2.8,0.86,0.88,20
deepseek-v3.2-thinking,en_markdown_16000tok,1.63,2.4,1.29,1.43,19
deepseek-v3.2-thinking,en_markdown_2000tok,0.35,1.0,0.29,0.0,20
deepseek-v3.2-thinking,en_markdown_8000tok,1.0,1.6,0.57,1.0,20
deepseek-v3.2-thinking,en_markdown_full,2.25,2.8,1.86,2.25,20
deepseek-v3.2-thinking,en_statements_16000tok,2.05,2.6,2.5,1.38,19
deepseek-v3.2-thinking,en_statements_2000tok,0.55,1.0,0.86,0.0,20
deepseek-v3.2-thinking,en_statements_8000tok,1.85,2.2,2.57,1.0,20
deepseek-v3.2-thinking,en_statements_full,2.05,2.6,2.14,1.62,20
deepseek-v3.2-thinking,en_structured_16000tok,0.68,0.4,0.0,1.38,19
deepseek-v3.2-thinking,en_structured_2000tok,0.35,0.4,0.43,0.25,20
deepseek-v3.2-thinking,en_structured_8000tok,0.6,0.4,0.43,0.88,20
deepseek-v3.2-thinking,en_structured_full,0.85,0.4,0.43,1.5,20
deepseek-v3.2-thinking,ru_markdown_16000tok,1.8,2.8,1.57,1.38,20
deepseek-v3.2-thinking,ru_markdown_2000tok,0.45,1.0,0.29,0.25,20
deepseek-v3.2-thinking,ru_markdown_8000tok,0.85,1.2,0.57,0.88,20
deepseek-v3.2-thinking,ru_markdown_full,2.32,2.8,2.0,2.29,19
deepseek-v3.2-thinking,ru_statements_16000tok,1.84,3.0,1.5,1.38,19
deepseek-v3.2-thinking,ru_statements_2000tok,1.4,2.4,1.57,0.62,20
deepseek-v3.2-thinking,ru_statements_8000tok,1.5,2.4,1.71,0.75,20
deepseek-v3.2-thinking,ru_statements_full,2.0,3.0,1.71,1.62,20
deepseek-v3.2-thinking,ru_structured_16000tok,2.16,2.8,1.43,2.43,19
deepseek-v3.2-thinking,ru_structured_2000tok,0.7,1.8,0.29,0.38,20
deepseek-v3.2-thinking,ru_structured_8000tok,1.79,2.8,0.83,1.88,19
deepseek-v3.2-thinking,ru_structured_full,1.89,2.6,0.83,2.25,19
gemma4,en_markdown_16000tok,1.1,2.6,1.0,0.25,20
gemma4,en_markdown_2000tok,0.45,1.0,0.29,0.25,20
gemma4,en_markdown_8000tok,0.5,1.2,0.0,0.5,20
gemma4,en_markdown_full,1.55,2.8,1.57,0.75,20
gemma4,en_statements_16000tok,1.3,1.2,1.71,1.0,20
gemma4,en_statements_2000tok,0.65,1.0,0.86,0.25,20
gemma4,en_statements_8000tok,1.15,1.2,1.71,0.62,20
gemma4,en_statements_full,1.4,1.6,1.71,1.0,20
gemma4,en_structured_16000tok,0.5,0.4,0.43,0.62,20
gemma4,en_structured_2000tok,0.2,0.4,0.0,0.25,20
gemma4,en_structured_8000tok,0.5,0.4,0.43,0.62,20
gemma4,en_structured_full,0.6,0.4,0.43,0.88,20
gemma4,ru_markdown_16000tok,1.1,2.4,1.0,0.38,20
gemma4,ru_markdown_2000tok,0.35,0.6,0.29,0.25,20
gemma4,ru_markdown_8000tok,0.65,1.2,0.57,0.38,20
gemma4,ru_markdown_full,1.5,2.6,1.43,0.88,20
gemma4,ru_statements_16000tok,1.75,2.6,1.71,1.25,20
gemma4,ru_statements_2000tok,1.35,2.4,1.29,0.75,20
gemma4,ru_statements_8000tok,1.4,2.0,1.71,0.75,20
gemma4,ru_statements_full,1.65,2.2,1.71,1.25,20
gemma4,ru_structured_16000tok,1.4,2.4,0.71,1.38,20
gemma4,ru_structured_2000tok,0.55,1.4,0.29,0.25,20
gemma4,ru_structured_8000tok,1.25,2.4,1.0,0.75,20
gemma4,ru_structured_full,1.4,2.4,0.71,1.38,20
qwen3.5,en_markdown_16000tok,1.85,2.8,1.71,1.38,20
qwen3.5,en_markdown_2000tok,0.35,1.0,0.29,0.0,20
qwen3.5,en_markdown_8000tok,0.95,1.6,0.29,1.12,20
qwen3.5,en_markdown_full,2.12,2.75,2.0,1.86,17
qwen3.5,en_statements_16000tok,1.7,2.0,1.71,1.5,20
qwen3.5,en_statements_2000tok,0.55,1.0,0.86,0.0,20
qwen3.5,en_statements_8000tok,1.45,1.8,1.71,1.0,20
qwen3.5,en_statements_full,1.74,2.2,1.71,1.43,19
qwen3.5,en_structured_16000tok,0.74,0.4,0.0,1.5,19
qwen3.5,en_structured_2000tok,0.4,0.4,0.29,0.5,20
qwen3.5,en_structured_8000tok,0.74,0.6,0.0,1.38,19
qwen3.5,en_structured_full,0.79,0.4,0.43,1.43,19
qwen3.5,ru_markdown_16000tok,1.95,2.8,1.71,1.62,20
qwen3.5,ru_markdown_2000tok,0.45,0.6,0.29,0.5,20
qwen3.5,ru_markdown_8000tok,1.1,1.6,0.29,1.5,20
qwen3.5,ru_markdown_full,2.33,2.8,2.17,2.14,18
qwen3.5,ru_statements_16000tok,1.95,3.0,1.5,1.62,19
qwen3.5,ru_statements_2000tok,1.45,2.4,1.71,0.62,20
qwen3.5,ru_statements_8000tok,1.47,2.4,1.5,0.88,19
qwen3.5,ru_statements_full,2.0,3.0,1.71,1.62,20
qwen3.5,ru_structured_16000tok,1.89,2.6,1.43,1.86,19
qwen3.5,ru_structured_2000tok,1.0,1.6,0.43,1.12,20
qwen3.5,ru_structured_8000tok,1.84,2.5,1.14,2.12,19
qwen3.5,ru_structured_full,1.89,2.5,1.43,2.0,19
