model,language,context,question_id,difficulty,category,question,reference_answer,model_answer,judge_score,judge_reasoning,retrieval_hit,exact_reference_match,all_reference_numbers_found,failure_type,token_budget,context_chars
gemma4,en,en_statements_2000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding the 'School Education' program.,0,"The model did not provide the required funding figure, stating no information instead of the correct value.",0,0,0,retrieval_miss_model_wrong,2000,7863
gemma4,en,en_statements_2000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,The provided context does not contain information regarding the number of budget programs for the Ministry of Health.,0,"The model did not provide the correct number (8) and claimed the information was unavailable, which is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7969
gemma4,en,en_statements_2000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",Министерство просвещения Кыргызской Республики (56.4 billion som).,0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,2000,7895
gemma4,en,en_statements_2000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,56,2,The answer addresses the correct entity (total ministries and agencies) but provides an incorrect number (56 instead of 88).,1,1,0,retrieval_hit_model_right,2000,7965
gemma4,en,en_statements_2000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,3,"Model gave an approximate value (1.1 billion som) that correctly corresponds to the reference amount of 1,127,306.9 тыс. сом (~1.127 billion som).",1,0,1,retrieval_hit_model_right,2000,7967
gemma4,en,en_statements_2000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом","The provided context does not contain information regarding a ""Ministry of Education""; however, the total 2026 allocation for 'Министерство просвещения Кыргызской Республики' is 56.4 billion som.",3,Model provides the correct total funding value (≈56.4 billion som) matching the reference amount.,0,0,0,retrieval_miss_model_right,2000,7916
gemma4,en,en_statements_2000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,0,"Model answer claims the information is missing, but reference provides the total budget value, so the answer is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7955
gemma4,en,en_statements_2000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения",The provided context does not contain funding information for the Ministry of Health (code 37) or the Ministry of Education (code 34).,0,"The model claims no funding info is present, contradicting the reference which provides the amounts and indicates Education receives more.",0,0,0,retrieval_miss_model_wrong,2000,7816
gemma4,en,en_statements_2000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,The provided context does not contain information regarding the total program-level budget for the Kyrgyz Republic; it only lists changes for individual entities.,0,"The model did not provide the required answer about the budget change, stating lack of information instead of the correct 7.1% decline.",0,0,0,retrieval_miss_model_wrong,2000,7962
gemma4,en,en_statements_2000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,"Program 45/263 'Общегосударственные программы' has 0.0 тыс. сом, so the smallest non-zero funding in 2026 is Program 68/001 'Управление и администрирование' with 8,993.7 тыс. сом.",0,"The model answer gives a different program and amount, not matching the reference's smallest non-zero funding of 739.4 тыс. сом.",0,0,0,retrieval_miss_model_wrong,2000,7994
gemma4,en,en_statements_2000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement is percent (%).,3,"The model correctly identifies the unit as percent (%), matching the reference answer.",0,0,0,retrieval_miss_model_right,2000,7908
gemma4,en,en_statements_2000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10",16.9 billion som,0,"The model gave 16.9 billion som, which does not match the reference value of 16,881,928.10 som.",1,0,1,retrieval_hit_model_wrong,2000,7985
gemma4,en,en_statements_2000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,The provided context does not contain information regarding the number of budget programs allocated to each ministry/agency.,0,"The model did not provide the correct number (19) and claimed lack of information, which is incorrect.",1,1,0,retrieval_hit_model_wrong,2000,7969
gemma4,en,en_statements_2000tok,14,hard,filter,How many programs show funding growth of more than 10% between 2026 and 2027?,9,"3 programs:
1. Program 43/001 (119,287.5 to 149,718.3)
2. Program 69/001 (funding decreased) - *Correction*: Program 80/001 (60,662.6 to 141,699.7)
3. Program 43/001, Program 80/001, and Program 64/001 (61,534.1 to 64,812.7 is not >10%).

Re-evaluating:
- Program 43/001: 119,287.5 to 149,718.3 (>10%)
- Program 80/001: 60,662.6 to 141,699.7 (>10%)",2,The model identified the correct type of entity (number of programs) but gave an incorrect count (3 instead of the correct 9).,0,0,0,retrieval_miss_model_right,2000,7912
gemma4,en,en_statements_2000tok,15,hard,indicator,How many rows in the budget have a performance indicator measured in people (чел.)?,50,11,0,"The model answer gives 11, which does not match the correct value of 50.",0,0,0,retrieval_miss_model_wrong,2000,7876
gemma4,en,en_statements_2000tok,16,hard,aggregation,What share of the total 2026 program budget goes to the Ministry of Finance (General State Expenditures)?,"56% (332,149,236.2 out of  593,028,014.9)",The provided context does not contain information regarding the total 2026 program budget or the specific amount allocated to the Ministry of Finance (General State Expenditures).,0,"The model claims no information is available, whereas the reference provides a specific share (56%).",0,0,0,retrieval_miss_model_wrong,2000,7883
gemma4,en,en_statements_2000tok,17,hard,lookup,Which budget measure (not program) has the largest 2026 funding?,"Повышение социальных выплат - 76,517,019.4",Государственный долг (38.0 billion som),0,"The model gave a different budget measure and amount, not the correct 'Повышение социальных выплат' with 76,517,019.4.",0,0,0,retrieval_miss_model_wrong,2000,7899
gemma4,en,en_statements_2000tok,18,hard,comparison,Which program under the Ministry of Emergency Situations receives the most 2026 funding?,"Управление материальными ценностями государственного и мобилизационного резерва  4,522,247.8 тыс. сом",The provided context does not contain information regarding the specific programs or funding amounts for the Ministry of Emergency Situations (Министерство чрезвычайных ситуаций Кыргызской Республики).,0,"The model answer does not provide the program or funding amount, contrary to the reference answer.",0,0,0,retrieval_miss_model_wrong,2000,7942
gemma4,en,en_statements_2000tok,19,hard,multi-step,How many total budget programs and budget measures are in the 2026 program-based budget?,168 programs and 342 measures,The provided context does not contain information regarding the total number of budget programs and budget measures.,0,"The model did not provide the required numbers and claimed lack of information, which is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7849
gemma4,en,en_statements_2000tok,20,hard,multi-step,Which programs show the largest absolute funding decrease from 2026 to 2027? Name the top 3.,1) Общегосударственные программы (МинФин); 2) Реализация проектов государственных инвестиций (Минводресурсов) 3) Государственная поддержка и развитие ирригации (Минводресурсов),"The provided context contains percentage changes but does not provide the absolute funding amounts; therefore, it is impossible to determine which programs show the largest absolute funding decrease.",0,"The model claims insufficient data and does not provide the three programs listed in the reference, thus it is incorrect.",0,0,0,retrieval_miss_model_wrong,2000,7934
gemma4,en,en_statements_8000tok,1,easy,lookup,What is the 2026 funding for the 'School Education' program under the Ministry of Education?,"42,380,106.4 тыс. сом",The provided context does not contain information regarding a 'School Education' program or its funding.,0,"The model says no information is available, contradicting the reference which provides a specific funding amount.",1,0,1,retrieval_hit_model_wrong,8000,31934
gemma4,en,en_statements_8000tok,2,easy,lookup,How many budget programs does the Ministry of Health have?,8,"The Ministry of Health (Министерство здравоохранения Кыргызской Республики, code 37) has 3 budget programs:
1. Управление и администрирование (code 001)
2. Программа «Общественное здравоохранение» (code 372)
3. Программа «Организация предоставления услуг здравоохранения» (code 373)",2,Correctly identifies the Ministry of Health but gives the wrong number of budget programs (3 instead of 8).,1,1,0,retrieval_hit_model_right,8000,31923
gemma4,en,en_statements_8000tok,3,easy,lookup,Which program has the largest funding allocation in the 2026 budget?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",The program with the largest funding allocation in the 2026 budget is 'Школьное образование' under 'Министерство просвещения Кыргызской Республики' with 42.4 billion som.,0,"The model gave a different program and amount, not matching the reference answer.",0,0,0,retrieval_miss_model_wrong,8000,28496
gemma4,en,en_statements_8000tok,4,easy,count,How many total ministries and agencies are represented in the program-based budget?,88,"Based on the provided context, there are 88 distinct ministries and agencies represented (as indicated by the GRBS codes ranging from 11 to 88).",3,"Model answer correctly states the total number as 88, matching the reference.",1,1,0,retrieval_hit_model_right,8000,29451
gemma4,en,en_statements_8000tok,5,easy,lookup,What is the total 2026 funding for the Jogorku Kenesh (parliament)?,"1,127,306.9 тыс. сом",1.1 billion som,3,"The model correctly approximates the reference value of 1,127,306.9 thousand som as about 1.1 billion som.",1,0,1,retrieval_hit_model_right,8000,27738
gemma4,en,en_statements_8000tok,6,medium,aggregation,What is the total 2026 funding across all programs of the Ministry of Education?,"56,424,894.11 тыс. сом","The total 2026 allocation for 'Министерство просвещения Кыргызской Республики' is 56.4 billion som (or 56,424,894.1 thousand som).",3,"The model provides the same total funding value, correctly converting to both billion and thousand som, matching the reference.",0,0,0,retrieval_miss_model_right,8000,31889
gemma4,en,en_statements_8000tok,7,medium,aggregation,What is the total budget across all program-level items for 2026?,"Примерно 593.2 млрд сом (593,152,147.3 тыс. сом)",The provided context does not contain the total budget across all program-level items for 2026.,0,"Model answer claims the information is missing, but reference provides the total budget value, so the answer is incorrect.",0,0,0,retrieval_miss_model_wrong,8000,26064
gemma4,en,en_statements_8000tok,8,medium,comparison,Which ministry receives more funding: Ministry of Health or Ministry of Education?,"Министерство просвещения — 56,424,894.11 тыс. сом против 41,621,347.3  тыс. сом у здравоохранения","Ministry of Education (Министерство просвещения Кыргызской Республики) receives more funding, with 56,424,894.1 thousand som in 2026, compared to the Ministry of Health (Министерство здравоохранения Кыргызской Республики), which receives 41,621,347.3 thousand som in 2026.",3,The model correctly identifies the Ministry of Education as receiving more funding and provides matching figures.,0,0,0,retrieval_miss_model_right,8000,31856
gemma4,en,en_statements_8000tok,9,medium,comparison,"Does the total program-level budget grow or shrink between 2026 and 2027, and by what percentage?",declines by 7.1%,"The provided context does not contain the total program-level budget for the entire 2026 program-based budget, only the growth or shrinkage percentages and allocations for individual ministries and agencies.",0,The model answer does not provide the required fact that the budget declines by 7.1%.,1,0,1,retrieval_hit_model_wrong,8000,26225
gemma4,en,en_statements_8000tok,10,medium,lookup,Which program has the smallest non-zero funding in 2026?,«Внесение предложений по защите материальных и социальных прав ветеранов» — 739.4 тыс. сом,Program 40/402 'Внесение предложений по защите материальных и социальных прав ветеранов и ветеранских организаций' (739.4 тыс. сом).,3,The model correctly identifies the program and the exact funding amount matching the reference answer.,0,0,0,retrieval_miss_model_right,8000,28942
gemma4,en,en_statements_8000tok,11,medium,indicator,What is the most commonly used unit of measurement for performance indicators in the 2026 budget?,Процент (%),The most commonly used unit of measurement is percent (%).,3,"The model correctly identifies the unit as percent (%), matching the reference answer.",0,0,0,retrieval_miss_model_right,8000,31899
gemma4,en,en_statements_8000tok,12,medium,aggregation,What is the total 2026 program funding for the Ministry of Transport and Communications?,"16,881,928.10","16.9 billion som (or 16,881,928.1 thousand som).",3,"Model provides the same value (16,881,928.1 thousand som) and correctly rounds to 16.9 billion som, matching the reference.",1,0,1,retrieval_hit_model_right,8000,29453
gemma4,en,en_statements_8000tok,13,hard,filter,How many ministries/agencies have exactly one budget program?,19,"18 ministries/agencies have exactly one budget program:
1. Архив Президента Кыргызской Республики (code 13)
2. Министерство юстиции Кыргызской Республики (code 22)
3. Министерство энергетики Кыргызской Республики (code 55) - *Note: Context lists two programs (001 and 556), so this is excluded.*
4. Национальная академия наук Кыргызской Республики (code 80)
5. Верховный суд Кыргызской Республики (code 16)
6. Счетная палата Кыргызской Республики (code 17) - *Note: Context lists two programs (001 and 172), so this is excluded.*
7. Военная прокуратура Кыргызской Республики (code 20)
8. Национальное агентство по инвестициям при Президенте Кыргызской Республики (code 57)
9. Министерство чрезвычайных ситуаций Кыргызской Республики (code 45) - *Note: Context lists two programs (001 and 263), so this is excluded.*
10. Центр перевода Кабинета Министров Кыргызской Республики (code 87)
11. Министерство транспорта и коммуникаций Кыргызской Республики (code 43)
12. Генеральная прокуратура Кыргызской Республики (code 19)
13. Секретариат Национальной комиссии Кыргызской Республики по делам ЮНЕСКО (code 68)
14. Министерство финансов Кыргызской Республики (code 25)
15. Министерство науки, высшего образования и инноваций Кыргызской Республики (code 31)
16. Государственное учреждение «Национальная академия «Манас» (code 88)
17. Академия государственного управления при Президенте Кыргызской Республики (code 39)
18. Государственное агентство по защите персональных данных при Кабинете Министров Кыргызской Республики (code 58)
19. Государственное учреждение «Фонд зеленой энергетики» при Кабинете Министров Кыргызской Республики (code 54)
20. Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики (code 42)
21. Телерадиовещательные компании Кыргызской Республики (code 85)
22. Жогорку Кенеш Кыргызской Республики (code 11)
23. Министерство цифрового развития и инновационных технологий Кыргызской Республики (code 69)

Corrected count based on provided context: 20 ministries/agencies have exactly one budget program.",2,The answer addresses the correct entity (the count of ministries/agencies with one program) but provides an incorrect number (18/20 instead of 19).,1,1,0,retrieval_hit_model_right,8000,31839
