question_id,difficulty,category,question,reference_answer,exact_match,all_numbers_found,contains_answer,context_chars,context
1,easy,lookup,Какой объем финансирования предусмотрен на программу «Школьное образование» Министерства просвещения на 2026 год?,"42,380,106.4 тыс. сом",True,True,True,5651,"- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Школьное образование», бюджетная мера «Повышение качества образования» (код меры 02) получает 221,300.9 тыс. сом в 2026 году, 221,300.9 тыс. сом в 2027 году, 221,300.9 тыс. сом в 2028 году.
- По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Школьное образование» (код программы 343) получает 42,380,106.4 тыс. сом в 2026 году, 43,462,341.1 тыс. сом в 2027 году, 44,571,272.0 тыс. сом в 2028 году.
- Министерство/ведомство «Министерство просвещения Кыргызской Республики» (код 34) включено в программный бюджет на 2026 год.
- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Школьное образование», бюджетная мера «Поддержание функционирования сети общеобразовательных, внешкольных образовательных организаций, интернатов, детских домов, издательств при МОН КР, библиотеки» (код меры 01) получает 42,158,805.5 тыс. сом в 2026 году, 43,241,040.2 тыс. сом в 2027 году, 44,349,971.1 тыс. сом в 2028 году.
- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Дошкольное образование и предшкольная подготовка», бюджетная мера «Поддержание функционирования сети дошкольных образовательных организаций» (код меры 01) получает 8,891,657.5 тыс. сом в 2026 году, 8,892,351.5 тыс. сом в 2027 году, 8,892,351.5 тыс. сом в 2028 году.
- По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Дошкольное образование и предшкольная подготовка» (код программы 342) получает 8,891,657.5 тыс. сом в 2026 году, 8,892,351.5 тыс. сом в 2027 году, 8,892,351.5 тыс. сом в 2028 году.
- Показатель результативности: «Объем средств предусмотренных на финансирование проектов экономического развития и накопленные финансовые резервы», единица измерения: тыс.сомов; базовое значение: 24355498; целевые значения: 30932052.5 (2027), 67382805.6 (2028).
- По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Начальное и среднее профессиональное образование» (код программы 344) получает 2,178,080.8 тыс. сом в 2026 году, 2,178,083.4 тыс. сом в 2027 году, 2,178,086.0 тыс. сом в 2028 году.
- Для меры «Поддержание функционирования сети общеобразовательных, внешкольных образовательных организаций, интернатов, детских домов, издательств при МОН КР, библиотеки» программы «Школьное образование»: Показатель результативности: «Процент охвата детей внешкольным образованием от общего количества детей», единица измерения: %; базовое значение: 9; целевые значения: 9 (2027), 9 (2028).
- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Начальное и среднее профессиональное образование», бюджетная мера «Поддержание функционирования сети организаций начального профессионального образования» (код меры 01) получает 2,178,080.8 тыс. сом в 2026 году, 2,178,083.4 тыс. сом в 2027 году, 2,178,086.0 тыс. сом в 2028 году.
- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Начальное и среднее профессиональное образование», бюджетная мера «Реализация проектов государственных инвестиций» (код меры 01) получает 1012180 тыс. сом в 2026 году, 1,169,830.0 тыс. сом в 2027 году, 1,615,475.0 тыс. сом в 2028 году.
- Для меры «Поддержание функционирования сети дошкольных образовательных организаций» программы «Дошкольное образование и предшкольная подготовка»: Показатель результативности: «Доля детей  в возрасте 3-6 лет, охваченных всеми формами дошкольного образования», единица измерения: %; базовое значение: 57; целевые значения: 60 (2027), 61 (2028).
- Показатель результативности: «Объем средств, предусмотренный на государственную программу по обеспечению безопасности и социально-экономического развития Баткенской области», единица измерения: тыс.сомов; базовое значение: 500000; целевые значения: 500000 (2027), 500000 (2028).
- Показатель результативности: «Объем средств, предусмотренных на специальный счет», единица измерения: тыс.сомов; базовое значение: 300000; целевые значения: 350000 (2027), 400000 (2028).
- Показатель результативности: «Объем средств, предусмотренных на возмещение и возврат НДС», единица измерения: тыс.сомов; базовое значение: 1500000; целевые значения: 1500000 (2027), 1500000 (2028).
- Для меры «Поддержание функционирования сети общеобразовательных, внешкольных образовательных организаций, интернатов, детских домов, издательств при МОН КР, библиотеки» программы «Школьное образование»: Показатель результативности: «Показатели среднего бала ОРТ по стране», единица измерения: балл; базовое значение: 127; целевые значения: 128 (2027), 129 (2028).
- Показатель результативности: «Объем средств, предусмотренных на реализацию Национальной программы развития государственного языка и совершенствования языковой политики в Кыргызской Республики», единица измерения: тыс.сомов; базовое значение: 150000; целевые значения: 150000 (2027).
- По ведомству «Министерство просвещения Кыргызской Республики», в программе «Управление и администрирование», бюджетная мера «Управление и администрирование отрасли на центральном уровне» (код меры 01) получает 1308711 тыс. сом в 2026 году, 1,313,057.6 тыс. сом в 2027 году, 1,313,065.8 тыс. сом в 2028 году.
- Показатель результативности: «Объем средств, предусмотренных на Цифровую экономику», единица измерения: тыс.сомов; базовое значение: 800000; целевые значения: 900000 (2027), 1000000 (2028).
- По ведомству «Министерство просвещения Кыргызской Республики» (код 34) программа «Управление и администрирование» (код программы 001) получает 1,962,869.4 тыс. сом в 2026 году, 1,967,522.0 тыс. сом в 2027 году, 1,967,839.3 тыс. сом в 2028 году."
2,easy,lookup,Сколько бюджетных программ имеет Министерство здравоохранения Кыргызской Республики?,8,True,False,True,6552,"- Министерство/ведомство «Министерство здравоохранения Кыргызской Республики» (код 37) включено в программный бюджет на 2026 год.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Охрана здоровья матери и ребенка» (код меры 06) получает 53,219.7 тыс. сом в 2026 году, 52,969.7 тыс. сом в 2027 году, 67,733.8 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»», бюджетная мера «Повышение квалификации работников в сфере здравоохранения» (код меры 03) получает 376,100.4 тыс. сом в 2026 году, 400,009.4 тыс. сом в 2027 году, 419,964.0 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Общественное здравоохранение»» (код программы 372) получает 2,170,534.1 тыс. сом в 2026 году, 2,120,832.0 тыс. сом в 2027 году, 2,151,858.4 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Общественное здравоохранение»», бюджетная мера «Политика иммунизации населения» (код меры 02) получает 185,035.7 тыс. сом в 2026 году, 199,300.4 тыс. сом в 2027 году, 185,035.7 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Организация предоставления услуг здравоохранения»» (код программы 373) получает 6,305,318.8 тыс. сом в 2026 году, 7,072,644.7 тыс. сом в 2027 году, 7,913,424.4 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Повышение уровня информированности и потенциала организации здравоохранения по вопросам обращения лекарственных средств» (код меры 03) получает 254,978.1 тыс. сом в 2026 году, 254,978.1 тыс. сом в 2027 году, 284,556.4 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Общественное здравоохранение»», бюджетная мера «Информационная работа с населением по вопросам укрепления здоровья» (код меры 03) получает 87,313.2 тыс. сом в 2026 году, 86,113.2 тыс. сом в 2027 году, 87,031.8 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Восстановление здоровья населения и интеграция в обществе» (код меры 07) получает 711,079.8 тыс. сом в 2026 году, 711,129.8 тыс. сом в 2027 году, 712,123.5 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Улучшение качества  медицинских услуг, оказываемых государственными организациями здравоохранения с упором на развитие ПМСП» (код меры 01) получает 287,214.4 тыс. сом в 2026 году, 287,214.4 тыс. сом в 2027 году, 283,710.8 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»» (код программы 374) получает 962,011.6 тыс. сом в 2026 году, 976,420.6 тыс. сом в 2027 году, 996,275.2 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Раннее выявление больных с сахарным диабетом» (код меры 02) получает 37,088.5 тыс. сом в 2026 году, 37,088.5 тыс. сом в 2027 году, 37,088.5 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Заготовка компонентов и препаратов крови» (код меры 04) получает 395,471.6 тыс. сом в 2026 году, 437,623.4 тыс. сом в 2027 году, 395,471.6 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»», бюджетная мера «Развитие сестринского образования в соответствии с новыми требованиями и потребностями здравоохранения» (код меры 04) получает 429,382.5 тыс. сом в 2026 году, 419,882.5 тыс. сом в 2027 году, 419,782.5 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Организация судебно-медицинских экспертиз» (код меры 09) получает 278,816.1 тыс. сом в 2026 году, 278,816.1 тыс. сом в 2027 году, 278,816.1 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Общественное здравоохранение»», бюджетная мера «Профилактика,диагностика,лечение и уход при ВИЧ-инфекции» (код меры 04) получает 358,227.7 тыс. сом в 2026 году, 358,227.7 тыс. сом в 2027 году, 355,219.7 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Медицинское образование и управление человеческими ресурсами в здравоохранении»», бюджетная мера «Подготовка специалистов с высшим медицинским образованием» (код меры 02) получает 156,528.7 тыс. сом в 2026 году, 156,528.7 тыс. сом в 2027 году, 156,528.7 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики» (код 37) программа «Управление и администрирование» (код программы 001) получает 321,933.8 тыс. сом в 2026 году, 326,433.8 тыс. сом в 2027 году, 326,433.8 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Общественное здравоохранение»», бюджетная мера «Профилактические меры по санитарной охране и обеспечение эпидемиологического и зоо-энтомологического надзора в природно-очаговых территориях страны» (код меры 06) получает 189,268.2 тыс. сом в 2026 году, 189,268.2 тыс. сом в 2027 году, 68,018.9 тыс. сом в 2028 году.
- По ведомству «Министерство здравоохранения Кыргызской Республики», в программе «Программа «Организация предоставления услуг здравоохранения»», бюджетная мера «Предоставление дорогостоящей и высокотехнологичной помощи, а также сопроводительных и консультативных мероприятий (ЦМ и ФВТ)» (код меры 08) получает 4,287,450.6 тыс. сом в 2026 году, 5,012,824.7 тыс. сом в 2027 году, 5,853,923.7 тыс. сом в 2028 году."
3,easy,lookup,Какая программа имеет наибольшее финансирование в бюджете 2026 года?,"«Общегосударственные программы» Министерства финансов КР — 164,663,857.2 тыс. сом",False,False,False,5429,"- Показатель результативности: «Финансирование проектов и софинансирование мероприятий органов МСУ», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- Показатель результативности: «Обеспечение финансирования мероприятия», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- Показатель результативности: «Исполнение бюджета по финансированию мероприятий по климату», единица измерения: %; базовое значение: 100; целевые значения: 0 (2027), 0 (2028).
- По ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», в программе «Общегосударственные программы», бюджетная мера «Льготное финансирование по газификации» (код меры 58) получает 25840 тыс. сом в 2026 году, 0.0 тыс. сом в 2027 году, 0.0 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», в программе «Общегосударственные программы», бюджетная мера «Финансирование мероприятий по климату» (код меры 76) получает 100000 тыс. сом в 2026 году, 0.0 тыс. сом в 2027 году, 0.0 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», в программе «Общегосударственные программы», бюджетная мера «Льготное финансирование Баткенской области» (код меры 45) получает 76,156.5 тыс. сом в 2026 году, 0.0 тыс. сом в 2027 году, 0.0 тыс. сом в 2028 году.
- Показатель результативности: «Исполнение бюджета по финансированию объединенных товаропроизводителей», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- Показатель результативности: «Обеспечение прозрачности бюджета/Обеспечение финансирования мероприятий ГПКР», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- Показатель результативности: «Финансирование для реализации проектов и мероприятий органов МСУ», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», в программе «Общегосударственные программы», бюджетная мера «Финансирование проектов экономического развития и накопленные финансовые резервы» (код меры 19) получает 24355498 тыс. сом в 2026 году, 30,932,052.5 тыс. сом в 2027 году, 67,382,805.6 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)», в программе «Общегосударственные программы», бюджетная мера ««Финансирование объединенных товаропроизводителей»» (код меры 79) получает 162740 тыс. сом в 2026 году, 133,320.0 тыс. сом в 2027 году, 80,960.0 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики» (код 25) программа «Противодействие финансированию террористической деятельности и легализации (отмыванию) преступных доходов» (код программы 255) получает 104,267.8 тыс. сом в 2026 году, 106,329.2 тыс. сом в 2027 году, 108,427.7 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики», в программе «Противодействие финансированию террористической деятельности и легализации (отмыванию) преступных доходов», бюджетная мера «Обеспечение координации и общего руководства противодействием финансированию террористической деятельности и легализации (отмыванию) преступных доходов» (код меры 01) получает 46,594.6 тыс. сом в 2026 году, 57,165.3 тыс. сом в 2027 году, 58,477.6 тыс. сом в 2028 году.
- Показатель результативности: «Обеспечение прозрачности бюджета/Обеспечение финансирования мероприятий территориальных подразделений ГПКР», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- Показатель результативности: «Полнота финансирования защищенных статей от установленных плановых показателей», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Министерство финансов Кыргызской Республики», в программе «Противодействие финансированию террористической деятельности и легализации (отмыванию) преступных доходов», бюджетная мера «Оценка рисков и отраслевая политика а также проведение оперативного и стратегического анализа и применение целевых финансовых санкций.» (код меры 02) получает 42,937.4 тыс. сом в 2026 году, 34,157.4 тыс. сом в 2027 году, 34,671.5 тыс. сом в 2028 году.
- По ведомству «Министерство финансов Кыргызской Республики», в программе «Противодействие финансированию террористической деятельности и легализации (отмыванию) преступных доходов», бюджетная мера «Реализация проектов государственных инвестиций» (код меры 01) получает 2,418,048.5 тыс. сом в 2026 году, 2,322,126.8 тыс. сом в 2027 году, 1,249,038.7 тыс. сом в 2028 году.
- Показатель результативности: «Экономия финансирования выделенного бюджетным учреждениям по статье «Оплата за электроэнергию»», единица измерения: %; базовое значение: 10; целевые значения: 10 (2027), 10 (2028).
- Министерство/ведомство «Министерство финансов Кыргызской Республики» (код 25) включено в программный бюджет на 2026 год.
- Показатель результативности: «Объем средств предусмотренных на финансирование проектов экономического развития и накопленные финансовые резервы», единица измерения: тыс.сомов; базовое значение: 24355498; целевые значения: 30932052.5 (2027), 67382805.6 (2028)."
4,easy,count,Сколько всего министерств и ведомств представлено в бюджете на программной основе?,60,False,False,False,2898,"- Министерство/ведомство «Министерство финансов Кыргызской Республики» (код 25) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство юстиции Кыргызской Республики» (код 22) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство здравоохранения Кыргызской Республики» (код 37) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство просвещения Кыргызской Республики» (код 34) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство иностранных дел Кыргызской Республики» (код 23) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Государственное агентство по регистрации транспортных средств и водительского состава при Кабинете Министров Кыргызской Республики» (код 52) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство энергетики Кыргызской Республики» (код 55) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство экономики и коммерции Кыргызской Республики» (код 28) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Управление делами Президента Кыргызской Республики» (код 15) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство науки, высшего образования и инноваций Кыргызской Республики» (код 31) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство труда, социального обеспечения и миграции Кыргызской Республики» (код 38) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Администрация Президента Кыргызской Республики» (код 12) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство чрезвычайных ситуаций Кыргызской Республики» (код 45) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство транспорта и коммуникаций Кыргызской Республики» (код 43) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Министерство финансов Кыргызской Республики (Общегосударственные программы, мероприятия и выплаты)» (код 26) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Академия государственного управления при Президенте Кыргызской Республики» (код 39) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Государственное учреждение «Фонд зеленой энергетики» при Кабинете Министров Кыргызской Республики» (код 54) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Фонды Президента и Кабинета Министров Кыргызской Республики» (код 14) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Архив Президента Кыргызской Республики» (код 13) включено в программный бюджет на 2026 год.
- Министерство/ведомство «Государственное агентство по управлению государственным имуществом при Кабинете Министров Кыргызской Республики» (код 53) включено в программный бюджет на 2026 год."
5,easy,lookup,Каков общий объем финансирования Жогорку Кенеша (парламента) на 2026 год?,"1,127,306.9 тыс. сом",True,True,True,4811,"- Министерство/ведомство «Жогорку Кенеш Кыргызской Республики» (код 11) включено в программный бюджет на 2026 год.
- Показатель результативности: «Представление отчета Счетной палаты Кыргызской Республики в Жогорку Кенеш Кыргызской Республики», единица измерения: ед.; базовое значение: 1; целевые значения: 1 (2027), 1 (2028).
- Показатель результативности: «Количество принятых постановлений Жогорку Кенешем Кыргызской Республики», единица измерения: ед.; базовое значение: 400; целевые значения: 400 (2027), 400 (2028).
- Показатель результативности: «Количество принятых постановлений Жогорку Кенешем Кыргызской Республики», единица измерения: ед.; базовое значение: 400; целевые значения: 400 (2027), 400 (2028).
- По ведомству «Управление делами Президента Кыргызской Республики», в программе «Организация и координация деятельности», бюджетная мера ««Обеспечение деятельности Администрации Президента Кыргызской Республики и Жогорку Кенеша Кыргызской Республики»» (код меры 07) получает 431602 тыс. сом в 2026 году, 439,714.6 тыс. сом в 2027 году, 448,508.9 тыс. сом в 2028 году.
- Для меры «Управление и администрирование отрасли на центральном уровне» программы «Управление и администрирование»: Показатель результативности: «Количество действующих документов о сотрудничестве с парламентами других стран», единица измерения: ед.; базовое значение: 10; целевые значения: 10 (2027), 10 (2028).
- Показатель результативности: «Финансирование проектов и софинансирование мероприятий органов МСУ», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Редакции журналов и газет», в программе «Издание газеты «Эркин- Тоо»», бюджетная мера «Опубликование нормативных правовых актов Кабинета Министров, Президента, Жогорку Кенеша Кыргызской Республики в газете «Эркин-Тоо»» (код меры 01) получает 6,630.4 тыс. сом в 2026 году, 6,763.0 тыс. сом в 2027 году, 6,898.3 тыс. сом в 2028 году.
- Показатель результативности: «Обеспечение финансирования мероприятия», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Жогорку Кенеш Кыргызской Республики» (код 11) программа «Управление и администрирование» (код программы 001) получает 1,047,143.9 тыс. сом в 2026 году, 1,069,070.0 тыс. сом в 2027 году, 1,091,434.7 тыс. сом в 2028 году.
- Показатель результативности: «Доля подписанных Президентом законопроектов от количества принятых Жогорку Кенешем в текущем сессионном периоде», единица измерения: %; базовое значение: 25; целевые значения: 25 (2027), 25 (2028).
- По ведомству «Жогорку Кенеш Кыргызской Республики», в программе «Управление и администрирование», бюджетная мера «Управление и администрирование отрасли на центральном уровне» (код меры 01) получает 1,047,143.9 тыс. сом в 2026 году, 1,069,070.0 тыс. сом в 2027 году, 1,091,434.7 тыс. сом в 2028 году.
- Итого по ведомству «Жогорку Кенеш Кыргызской Республики» (код 11): 1,127,306.9 тыс. сом в 2026 году, 1,149,233.0 тыс. сом в 2027 году, 1,171,597.7 тыс. сом в 2028 году.
- Показатель результативности: «Ознакомление населения с текущей деятельностью парламента (доля законопроектов, доступных для предварительного ознакомления)», единица измерения: коэф.; базовое значение: 90; целевые значения: 90 (2027), 90 (2028).
- Показатель результативности: «Исполнение бюджета по финансированию объединенных товаропроизводителей», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Жогорку Кенеш Кыргызской Республики» (код 11) программа «Обеспечение информацией о деятельности, контроля исполнения, кадров, организация и взаимодействие со СМИ» (код программы 113) получает 80163 тыс. сом в 2026 году, 80,163.0 тыс. сом в 2027 году, 80,163.0 тыс. сом в 2028 году.
- Показатель результативности: «Исполнение бюджета по финансированию мероприятий по климату», единица измерения: %; базовое значение: 100; целевые значения: 0 (2027), 0 (2028).
- Показатель результативности: «Объем средств предусмотренных на финансирование проектов экономического развития и накопленные финансовые резервы», единица измерения: тыс.сомов; базовое значение: 24355498; целевые значения: 30932052.5 (2027), 67382805.6 (2028).
- Показатель результативности: «Обеспечение прозрачности бюджета/Обеспечение финансирования мероприятий ГПКР», единица измерения: %; базовое значение: 100; целевые значения: 100 (2027), 100 (2028).
- По ведомству «Жогорку Кенеш Кыргызской Республики», в программе «Обеспечение информацией о деятельности, контроля исполнения, кадров, организация и взаимодействие со СМИ», бюджетная мера «Законодательное обеспечение реформ, необходимых для устойчивого развития общества и государства» (код меры 01) получает 80163 тыс. сом в 2026 году, 80,163.0 тыс. сом в 2027 году, 80,163.0 тыс. сом в 2028 году."
